,text
4350,"On this the hero fix’d an oak in sight,"
4351,The mark to guide the mariners aright.
4352,"To bear with this, the seamen stretch their oars;"
4353,"Then round the rock they steer, and seek the former shores."
4354,"The lots decide their place. Above the rest,"
4355,Each leader shining in his Tyrian vest;
4356,The common crew with wreaths of poplar boughs
4357,"Their temples crown, and shade their sweaty brows:"
4358,"Besmear’d with oil, their naked shoulders shine."
4359,"All take their seats, and wait the sounding sign:"
4360,They gripe their oars; and ev’ry panting breast
4361,"Is rais’d by turns with hope, by turns with fear depress’d."
4362,The clangour of the trumpet gives the sign;
4363,"At once they start, advancing in a line:"
4364,With shouts the sailors rend the starry skies;
4365,"Lash’d with their oars, the smoky billows rise;"
4366,"Sparkles the briny main, and the vex’d ocean fries."
4367,"Exact in time, with equal strokes they row:"
4368,At once the brushing oars and brazen prow
4369,"Dash up the sandy waves, and ope the depths below."
4370,"Not fiery coursers, in a chariot race,"
4371,Invade the field with half so swift a pace;
4372,Not the fierce driver with more fury lends
4373,"The sounding lash, and, ere the stroke descends,"
4374,Low to the wheels his pliant body bends.
4375,"The partial crowd their hopes and fears divide,"
4376,And aid with eager shouts the favour’d side.
4377,"Cries, murmurs, clamours, with a mixing sound,"
4378,"From woods to woods, from hills to hills rebound."
4379,"Amidst the loud applauses of the shore,"
4380,"Gyas outstripp’d the rest, and sprung before:"
4381,"Cloanthus, better mann’d, pursued him fast,"
4382,But his o’er-masted galley check’d his haste.
4383,The Centaur and the Dolphin brush the brine
4384,"With equal oars, advancing in a line;"
4385,"And now the mighty Centaur seems to lead,"
4386,And now the speedy Dolphin gets ahead;
4387,"Now board to board the rival vessels row,"
4388,"The billows lave the skies, and ocean groans below."
4389,They reach’d the mark; proud Gyas and his train
4390,"In triumph rode, the victors of the main;"
4391,"But, steering round, he charg’d his pilot stand"
4392,"More close to shore, and skim along the sand."
4393,“Let others bear to sea!” Menoetes heard;
4394,"But secret shelves too cautiously he fear’d,"
4395,"And, fearing, sought the deep; and still aloof he steer’d."
4396,With louder cries the captain call’d again:
4397,"“Bear to the rocky shore, and shun the main.”"
4398,"He spoke, and, speaking, at his stern he saw"
4399,The bold Cloanthus near the shelvings draw.
4400,"Betwixt the mark and him the Scylla stood,"
4401,And in a closer compass plow’d the flood.
4402,"He pass’d the mark; and, wheeling, got before:"
4403,"Gyas blasphem’d the gods, devoutly swore,"
4404,"Cried out for anger, and his hair he tore."
4405,Mindless of others’ lives (so high was grown
4406,"His rising rage) and careless of his own,"
4407,The trembling dotard to the deck he drew;
4408,"Then hoisted up, and overboard he threw:"
4409,"This done, he seiz’d the helm; his fellows cheer’d,"
4410,"Turn’d short upon the shelfs, and madly steer’d."
4411,"Hardly his head the plunging pilot rears,"
4412,"Clogg’d with his clothes, and cumber’d with his years:"
4413,"Now dropping wet, he climbs the cliff with pain."
4414,"The crowd, that saw him fall and float again,"
4415,"Shout from the distant shore; and loudly laugh’d,"
4416,To see his heaving breast disgorge the briny draught.
4417,"The following Centaur, and the Dolphin’s crew,"
4418,Their vanish’d hopes of victory renew;
4419,"While Gyas lags, they kindle in the race,"
4420,To reach the mark. Sergesthus takes the place;
4421,"Mnestheus pursues; and while around they wind,"
4422,"Comes up, not half his galley’s length behind;"
4423,"Then, on the deck, amidst his mates appear’d,"
4424,And thus their drooping courages he cheer’d:
4425,"“My friends, and Hector’s followers heretofore,"
4426,Exert your vigour; tug the lab’ring oar;
4427,"Stretch to your strokes, my still unconquer’d crew,"
4428,Whom from the flaming walls of Troy I drew.
4429,"In this, our common int’rest, let me find"
4430,"That strength of hand, that courage of the mind,"
4431,"As when you stemm’d the strong Malean flood,"
4432,And o’er the Syrtes’ broken billows row’d.
4433,I seek not now the foremost palm to gain;
4434,"Tho’ yet——But, ah! that haughty wish is vain!"
4435,Let those enjoy it whom the gods ordain.
4436,"But to be last, the lags of all the race!"
4437,Redeem yourselves and me from that disgrace.”
4438,"Now, one and all, they tug amain; they row"
4439,"At the full stretch, and shake the brazen prow."
4440,The sea beneath ’em sinks; their lab’ring sides
4441,"Are swell’d, and sweat runs gutt’ring down in tides."
4442,Chance aids their daring with unhop’d success;
4443,"Sergesthus, eager with his beak to press"
4444,"Betwixt the rival galley and the rock,"
4445,Shuts up th’ unwieldly Centaur in the lock.
4446,"The vessel struck; and, with the dreadful shock,"
4447,"Her oars she shiver’d, and her head she broke."
4448,"The trembling rowers from their banks arise,"
4449,"And, anxious for themselves, renounce the prize."
4450,"With iron poles they heave her off the shores,"
4451,And gather from the sea their floating oars.
4452,"The crew of Mnestheus, with elated minds,"
4453,"Urge their success, and call the willing winds;"
4454,"Then ply their oars, and cut their liquid way"
4455,In larger compass on the roomy sea.
4456,"As, when the dove her rocky hold forsakes,"
4457,"Rous’d in a fright, her sounding wings she shakes;"
4458,"The cavern rings with clatt’ring; out she flies,"
4459,"And leaves her callow care, and cleaves the skies:"
4460,At first she flutters; but at length she springs
4461,"To smoother flight, and shoots upon her wings:"
4462,So Mnestheus in the Dolphin cuts the sea;
4463,"And, flying with a force, that force assists his way."
4464,"Sergesthus in the Centaur soon he pass’d,"
4465,"Wedg’d in the rocky shoals, and sticking fast."
4466,"In vain the victor he with cries implores,"
4467,And practices to row with shatter’d oars.
4468,"Then Mnestheus bears with Gyas, and outflies:"
4469,"The ship, without a pilot, yields the prize."
4470,Unvanquish’d Scylla now alone remains;
4471,"Her he pursues, and all his vigour strains."
4472,Shouts from the fav’ring multitude arise;
4473,Applauding Echo to the shouts replies;
4474,"Shouts, wishes, and applause run rattling thro’ the skies."
4475,"These clamours with disdain the Scylla heard,"
4476,"Much grudg’d the praise, but more the robb’d reward:"
4477,"Resolv’d to hold their own, they mend their pace,"
4478,"All obstinate to die, or gain the race."
4479,"Rais’d with success, the Dolphin swiftly ran;"
4480,"For they can conquer, who believe they can."
4481,"Both urge their oars, and fortune both supplies,"
4482,And both perhaps had shar’d an equal prize;
4483,"When to the seas Cloanthus holds his hands,"
4484,And succour from the wat’ry pow’rs demands:
4485,"“Gods of the liquid realms, on which I row!"
4486,"If, giv’n by you, the laurel bind my brow,"
4487,Assist to make me guilty of my vow!
4488,A snow-white bull shall on your shore be slain;
4489,"His offer’d entrails cast into the main,"
4490,"And ruddy wine, from golden goblets thrown,"
4491,Your grateful gift and my return shall own.”
4492,"The choir of nymphs, and Phorcus, from below,"
4493,"With virgin Panopea, heard his vow;"
4494,"And old Portunus, with his breadth of hand,"
4495,"Push’d on, and sped the galley to the land."
4496,"Swift as a shaft, or winged wind, she flies,"
4497,"And, darting to the port, obtains the prize."
4498,"The herald summons all, and then proclaims"
4499,Cloanthus conqu’ror of the naval games.
4500,"The prince with laurel crowns the victor’s head,"
4501,"And three fat steers are to his vessel led,"
4502,"The ship’s reward; with gen’rous wine beside,"
4503,"And sums of silver, which the crew divide."
4504,The leaders are distinguish’d from the rest;
4505,"The victor honour’d with a nobler vest,"
4506,"Where gold and purple strive in equal rows,"
4507,And needlework its happy cost bestows.
4508,"There Ganymede is wrought with living art,"
4509,Chasing thro’ Ida’s groves the trembling hart:
4510,"Breathless he seems, yet eager to pursue;"
4511,"When from aloft descends, in open view,"
4512,"The bird of Jove, and, sousing on his prey,"
4513,With crooked talons bears the boy away.
4514,"In vain, with lifted hands and gazing eyes,"
4515,"His guards behold him soaring thro’ the skies,"
4516,And dogs pursue his flight with imitated cries.
4517,Mnestheus the second victor was declar’d;
4518,"And, summon’d there, the second prize he shar’d."
4519,"A coat of mail, brave Demoleus bore,"
4520,"More brave Aeneas from his shoulders tore,"
4521,In single combat on the Trojan shore:
4522,This was ordain’d for Mnestheus to possess;
4523,"In war for his defence, for ornament in peace."
4524,"Rich was the gift, and glorious to behold,"
4525,"But yet so pond’rous with its plates of gold,"
4526,That scarce two servants could the weight sustain;
4527,"Yet, loaded thus, Demoleus o’er the plain"
4528,Pursued and lightly seiz’d the Trojan train.
4529,"The third, succeeding to the last reward,"
4530,"Two goodly bowls of massy silver shar’d,"
4531,"With figures prominent, and richly wrought,"
4532,And two brass caldrons from Dodona brought.
4533,"Thus all, rewarded by the hero’s hands,"
4534,Their conqu’ring temples bound with purple bands;
4535,"And now Sergesthus, clearing from the rock,"
4536,Brought back his galley shatter’d with the shock.
4537,"Forlorn she look’d, without an aiding oar,"
4538,"And, houted by the vulgar, made to shore."
4539,"As when a snake, surpris’d upon the road,"
4540,Is crush’d athwart her body by the load
4541,Of heavy wheels; or with a mortal wound
4542,"Her belly bruis’d, and trodden to the ground:"
4543,"In vain, with loosen’d curls, she crawls along;"
4544,"Yet, fierce above, she brandishes her tongue;"
4545,"Glares with her eyes, and bristles with her scales;"
4546,"But, groveling in the dust, her parts unsound she trails:"
4547,"So slowly to the port the Centaur tends,"
4548,"But, what she wants in oars, with sails amends."
4549,"Yet, for his galley sav’d, the grateful prince"
4550,Is pleas’d th’ unhappy chief to recompense.
4551,"Pholoe, the Cretan slave, rewards his care,"
4552,"Beauteous herself, with lovely twins as fair."
4553,From thence his way the Trojan hero bent
4554,"Into the neighb’ring plain, with mountains pent,"
4555,Whose sides were shaded with surrounding wood.
4556,Full in the midst of this fair valley stood
4557,"A native theatre, which, rising slow"
4558,"By just degrees, o’erlook’d the ground below."
4559,High on a sylvan throne the leader sate;
4560,A num’rous train attend in solemn state.
4561,"Here those that in the rapid course delight,"
4562,Desire of honour and the prize invite.
4563,The rival runners without order stand;
4564,The Trojans mix’d with the Sicilian band.
4565,"First Nisus, with Euryalus, appears;"
4566,"Euryalus a boy of blooming years,"
4567,With sprightly grace and equal beauty crown’d;
4568,"Nisus, for friendship to the youth renown’d."
4569,"Diores next, of Priam’s royal race,"
4570,"Then Salius joined with Patron, took their place;"
4571,"But Patron in Arcadia had his birth,"
4572,And Salius his from Arcananian earth;
4573,"Then two Sicilian youths, the names of these,"
4574,"Swift Helymus, and lovely Panopes:"
4575,"Both jolly huntsmen, both in forest bred,"
4576,And owning old Acestes for their head;
4577,"With sev’ral others of ignobler name,"
4578,Whom time has not deliver’d o’er to fame.
4579,"To these the hero thus his thoughts explain’d,"
4580,In words which gen’ral approbation gain’d:
4581,"“One common largess is for all design’d,"
4582,"The vanquish’d and the victor shall be join’d,"
4583,"Two darts of polish’d steel and Gnosian wood,"
4584,A silver-studded ax alike bestow’d.
4585,The foremost three have olive wreaths decreed:
4586,"The first of these obtains a stately steed,"
4587,"Adorn’d with trappings; and the next in fame,"
4588,"The quiver of an Amazonian dame,"
4589,With feather’d Thracian arrows well supplied:
4590,"A golden belt shall gird his manly side,"
4591,Which with a sparkling diamond shall be tied.
4592,The third this Grecian helmet shall content.”
4593,He said. To their appointed base they went;
4594,"With beating hearts th’ expected sign receive,"
4595,"And, starting all at once, the barrier leave."
4596,"Spread out, as on the winged winds, they flew,"
4597,And seiz’d the distant goal with greedy view.
4598,"Shot from the crowd, swift Nisus all o’erpass’d;"
4599,"Nor storms, nor thunder, equal half his haste."
4600,"The next, but tho’ the next, yet far disjoin’d,"
4601,"Came Salius, and Euryalus behind;"
4602,"Then Helymus, whom young Diores plied,"
4603,"Step after step, and almost side by side,"
4604,"His shoulders pressing; and, in longer space,"
4605,"Had won, or left at least a dubious race."
4606,"Now, spent, the goal they almost reach at last,"
4607,"When eager Nisus, hapless in his haste,"
4608,"Slipp’d first, and, slipping, fell upon the plain,"
4609,Soak’d with the blood of oxen newly slain.
4610,The careless victor had not mark’d his way;
4611,"But, treading where the treach’rous puddle lay,"
4612,His heels flew up; and on the grassy floor
4613,"He fell, besmear’d with filth and holy gore."
4614,"Not mindless then, Euryalus, of thee,"
4615,"Nor of the sacred bonds of amity,"
4616,"He strove th’ immediate rival’s hope to cross,"
4617,And caught the foot of Salius as he rose.
4618,So Salius lay extended on the plain;
4619,"Euryalus springs out, the prize to gain,"
4620,And leaves the crowd: applauding peals attend
4621,"The victor to the goal, who vanquish’d by his friend."
4622,"Next Helymus; and then Diores came,"
4623,By two misfortunes made the third in fame.
4624,"But Salius enters, and, exclaiming loud"
4625,"For justice, deafens and disturbs the crowd;"
4626,Urges his cause may in the court be heard;
4627,And pleads the prize is wrongfully conferr’d.
4628,But favour for Euryalus appears;
4629,"His blooming beauty, with his tender tears,"
4630,Had brib’d the judges for the promis’d prize.
4631,"Besides, Diores fills the court with cries,"
4632,"Who vainly reaches at the last reward,"
4633,If the first palm on Salius be conferr’d.
4634,Then thus the prince: “Let no disputes arise:
4635,"Where fortune plac’d it, I award the prize."
4636,"But fortune’s errors give me leave to mend,"
4637,At least to pity my deserving friend.”
4638,"He said, and, from among the spoils, he draws"
4639,(Pond’rous with shaggy mane and golden paws)
4640,A lion’s hide: to Salius this he gives.
4641,"Nisus with envy sees the gift, and grieves."
4642,“If such rewards to vanquish’d men are due.”
4643,"He said, “and falling is to rise by you,"
4644,"What prize may Nisus from your bounty claim,"
4645,Who merited the first rewards and fame?
4646,"In falling, both an equal fortune tried;"
4647,Would fortune for my fall so well provide!”
4648,"With this he pointed to his face, and show’d"
4649,His hand and all his habit smear’d with blood.
4650,"Th’ indulgent father of the people smil’d,"
4651,"And caus’d to be produc’d an ample shield,"
4652,"Of wondrous art, by Didymaon wrought,"
4653,Long since from Neptune’s bars in triumph brought.
4654,"This giv’n to Nisus, he divides the rest,"
4655,And equal justice in his gifts express’d.
4656,"The race thus ended, and rewards bestow’d,"
4657,Once more the prince bespeaks th’ attentive crowd:
4658,"“If there be here, whose dauntless courage dare"
4659,"In gauntlet fight, with limbs and body bare,"
4660,"His opposite sustain in open view,"
4661,"Stand forth the champion, and the games renew."
4662,"Two prizes I propose, and thus divide:"
4663,"A bull with gilded horns, and fillets tied,"
4664,Shall be the portion of the conqu’ring chief;
4665,A sword and helm shall cheer the loser’s grief.”
4666,Then haughty Dares in the lists appears;
4667,"Stalking he strides, his head erected bears:"
4668,"His nervous arms the weighty gauntlet wield,"
4669,And loud applauses echo thro’ the field.
4670,Dares alone in combat us’d to stand
4671,"The match of mighty Paris, hand to hand;"
4672,"The same, at Hector’s fun’rals, undertook"
4673,"Gigantic Butes, of th’ Amycian stock,"
4674,"And, by the stroke of his resistless hand,"
4675,Stretch’d the vast bulk upon the yellow sand.
4676,"Such Dares was; and such he strode along,"
4677,And drew the wonder of the gazing throng.
4678,"His brawny back and ample breast he shows,"
4679,"His lifted arms around his head he throws,"
4680,And deals in whistling air his empty blows.
4681,"His match is sought; but, thro’ the trembling band,"
4682,Not one dares answer to the proud demand.
4683,"Presuming of his force, with sparkling eyes"
4684,Already he devours the promis’d prize.
4685,"He claims the bull with awless insolence,"
4686,"And having seiz’d his horns, accosts the prince:"
4687,"“If none my matchless valour dares oppose,"
4688,How long shall Dares wait his dastard foes?
4689,"Permit me, chief, permit without delay,"
4690,To lead this uncontended gift away.”
4691,"The crowd assents, and with redoubled cries"
4692,For the proud challenger demands the prize.
4693,"Acestes, fir’d with just disdain, to see"
4694,"The palm usurp’d without a victory,"
4695,"Reproach’d Entellus thus, who sate beside,"
4696,"And heard and saw, unmov’d, the Trojan’s pride:"
4697,"“Once, but in vain, a champion of renown,"
4698,"So tamely can you bear the ravish’d crown,"
4699,"A prize in triumph borne before your sight,"
4700,"And shun, for fear, the danger of the fight?"
4701,"Where is our Eryx now, the boasted name,"
4702,The god who taught your thund’ring arm the game?
4703,Where now your baffled honour? Where the spoil
4704,"That fill’d your house, and fame that fill’d our isle?”"
4705,"Entellus, thus: “My soul is still the same,"
4706,"Unmov’d with fear, and mov’d with martial fame;"
4707,"But my chill blood is curdled in my veins,"
4708,And scarce the shadow of a man remains.
4709,"O could I turn to that fair prime again,"
4710,"That prime of which this boaster is so vain,"
4711,"The brave, who this decrepid age defies,"
4712,"Should feel my force, without the promis’d prize.”"
4713,"He said; and, rising at the word, he threw"
4714,Two pond’rous gauntlets down in open view;
4715,"Gauntlets which Eryx wont in fight to wield,"
4716,And sheathe his hands with in the listed field.
4717,"With fear and wonder seiz’d, the crowd beholds"
4718,"The gloves of death, with sev’n distinguish’d folds"
4719,Of tough bull hides; the space within is spread
4720,"With iron, or with loads of heavy lead:"
4721,"Dares himself was daunted at the sight,"
4722,"Renounc’d his challenge, and refus’d to fight."
4723,"Astonish’d at their weight, the hero stands,"
4724,And pois’d the pond’rous engines in his hands.
4725,"“What had your wonder,” said Entellus, “been,"
4726,"Had you the gauntlets of Alcides seen,"
4727,Or view’d the stern debate on this unhappy green!
4728,"These which I bear your brother Eryx bore,"
4729,Still mark’d with batter’d brains and mingled gore.
4730,With these he long sustain’d th’ Herculean arm;
4731,"And these I wielded while my blood was warm,"
4732,"This languish’d frame while better spirits fed,"
4733,"Ere age unstrung my nerves, or time o’ersnow’d my head."
4734,"But if the challenger these arms refuse,"
4735,"And cannot wield their weight, or dare not use;"
4736,If great Aeneas and Acestes join
4737,"In his request, these gauntlets I resign;"
4738,"Let us with equal arms perform the fight,"
4739,"And let him leave to fear, since I resign my right.”"
4740,"This said, Entellus for the strife prepares;"
4741,"Stripp’d of his quilted coat, his body bares;"
4742,"Compos’d of mighty bones and brawn he stands,"
4743,A goodly tow’ring object on the sands.
4744,"Then just Aeneas equal arms supplied,"
4745,Which round their shoulders to their wrists they tied.
4746,"Both on the tiptoe stand, at full extent,"
4747,"Their arms aloft, their bodies inly bent;"
4748,Their heads from aiming blows they bear afar;
4749,With clashing gauntlets then provoke the war.
4750,One on his youth and pliant limbs relies;
4751,One on his sinews and his giant size.
4752,"The last is stiff with age, his motion slow;"
4753,"He heaves for breath, he staggers to and fro,"
4754,And clouds of issuing smoke his nostrils loudly blow.
4755,"Yet equal in success, they ward, they strike;"
4756,"Their ways are diff’rent, but their art alike."
4757,"Before, behind, the blows are dealt; around"
4758,Their hollow sides the rattling thumps resound.
4759,"A storm of strokes, well meant, with fury flies,"
4760,"And errs about their temples, ears, and eyes."
4761,Nor always errs; for oft the gauntlet draws
4762,A sweeping stroke along the crackling jaws.
4763,"Heavy with age, Entellus stands his ground,"
4764,But with his warping body wards the wound.
4765,His hand and watchful eye keep even pace;
4766,"While Dares traverses and shifts his place,"
4767,"And, like a captain who beleaguers round"
4768,"Some strong-built castle on a rising ground,"
4769,Views all th’ approaches with observing eyes:
4770,"This and that other part in vain he tries,"
4771,And more on industry than force relies.
4772,"With hands on high, Entellus threats the foe;"
4773,"But Dares watch’d the motion from below,"
4774,"And slipp’d aside, and shunn’d the long descending blow."
4775,"Entellus wastes his forces on the wind,"
4776,"And, thus deluded of the stroke design’d,"
4777,Headlong and heavy fell; his ample breast
4778,And weighty limbs his ancient mother press’d.
4779,"So falls a hollow pine, that long had stood"
4780,"On Ida’s height, or Erymanthus’ wood,"
4781,"Torn from the roots. The diff’ring nations rise,"
4782,"And shouts and mingled murmurs rend the skies,"
4783,"Acestus runs with eager haste, to raise"
4784,The fall’n companion of his youthful days.
4785,"Dauntless he rose, and to the fight return’d;"
4786,"With shame his glowing cheeks, his eyes with fury burn’d."
4787,"Disdain and conscious virtue fir’d his breast,"
4788,And with redoubled force his foe he press’d.
4789,"He lays on load with either hand, amain,"
4790,And headlong drives the Trojan o’er the plain;
4791,"Nor stops, nor stays; nor rest nor breath allows;"
4792,"But storms of strokes descend about his brows,"
4793,"A rattling tempest, and a hail of blows."
4794,"But now the prince, who saw the wild increase"
4795,"Of wounds, commands the combatants to cease,"
4796,"And bounds Entellus’ wrath, and bids the peace."
4797,"First to the Trojan, spent with toil, he came,"
4798,And sooth’d his sorrow for the suffer’d shame.
4799,"“What fury seiz’d my friend? The gods,” said he,"
4800,"“To him propitious, and averse to thee,"
4801,Have giv’n his arm superior force to thine.
4802,’Tis madness to contend with strength divine.”
4803,"The gauntlet fight thus ended, from the shore"
4804,His faithful friends unhappy Dares bore:
4805,"His mouth and nostrils pour’d a purple flood,"
4806,And pounded teeth came rushing with his blood.
4807,"Faintly he stagger’d thro’ the hissing throng,"
4808,"And hung his head, and trail’d his legs along."
4809,The sword and casque are carried by his train;
4810,But with his foe the palm and ox remain.
4811,"The champion, then, before Aeneas came,"
4812,"Proud of his prize, but prouder of his fame:"
4813,"“O goddess-born, and you, Dardanian host,"
4814,"Mark with attention, and forgive my boast;"
4815,"Learn what I was, by what remains; and know"
4816,From what impending fate you sav’d my foe.”
4817,"Sternly he spoke, and then confronts the bull;"
4818,"And, on his ample forehead aiming full,"
4819,"The deadly stroke, descending, pierc’d the skull."
4820,"Down drops the beast, nor needs a second wound,"
4821,"But sprawls in pangs of death, and spurns the ground."
4822,"Then, thus: “In Dares’ stead I offer this."
4823,"Eryx, accept a nobler sacrifice;"
4824,Take the last gift my wither’d arms can yield:
4825,"Thy gauntlets I resign, and here renounce the field.”"
4826,"This done, Aeneas orders, for the close,"
4827,The strife of archers with contending bows.
4828,The mast Sergesthus’ shatter’d galley bore
4829,With his own hands he raises on the shore.
4830,"A flutt’ring dove upon the top they tie,"
4831,The living mark at which their arrows fly.
4832,"The rival archers in a line advance,"
4833,Their turn of shooting to receive from chance.
4834,A helmet holds their names; the lots are drawn:
4835,On the first scroll was read Hippocoon.
4836,The people shout. Upon the next was found
4837,"Young Mnestheus, late with naval honours crown’d."
4838,"The third contain’d Eurytion’s noble name,"
4839,"Thy brother, Pandarus, and next in fame,"
4840,"Whom Pallas urg’d the treaty to confound,"
4841,And send among the Greeks a feather’d wound.
4842,"Acestes in the bottom last remain’d,"
4843,Whom not his age from youthful sports restrain’d.
4844,"Soon all with vigour bend their trusty bows,"
4845,And from the quiver each his arrow chose.
4846,Hippocoon’s was the first: with forceful sway
4847,"It flew, and, whizzing, cut the liquid way."
4848,Fix’d in the mast the feather’d weapon stands:
4849,"The fearful pigeon flutters in her bands,"
4850,"And the tree trembled, and the shouting cries"
4851,Of the pleas’d people rend the vaulted skies.
4852,"Then Mnestheus to the head his arrow drove,"
4853,"With lifted eyes, and took his aim above,"
4854,"But made a glancing shot, and missed the dove;"
4855,"Yet miss’d so narrow, that he cut the cord"
4856,Which fasten’d by the foot the flitting bird.
4857,"The captive thus releas’d, away she flies,"
4858,And beats with clapping wings the yielding skies.
4859,"His bow already bent, Eurytion stood;"
4860,"And, having first invok’d his brother god,"
4861,His winged shaft with eager haste he sped.
4862,The fatal message reach’d her as she fled:
4863,"She leaves her life aloft; she strikes the ground,"
4864,And renders back the weapon in the wound.
4865,"Acestes, grudging at his lot, remains,"
4866,Without a prize to gratify his pains.
4867,"Yet, shooting upward, sends his shaft, to show"
4868,"An archer’s art, and boast his twanging bow."
4869,"The feather’d arrow gave a dire portent,"
4870,And latter augurs judge from this event.
4871,"Chaf’d by the speed, it fir’d; and, as it flew,"
4872,A trail of following flames ascending drew:
4873,"Kindling they mount, and mark the shiny way;"
4874,"Across the skies as falling meteors play,"
4875,"And vanish into wind, or in a blaze decay."
4876,"The Trojans and Sicilians wildly stare,"
4877,"And, trembling, turn their wonder into pray’r."
4878,"The Dardan prince put on a smiling face,"
4879,And strain’d Acestes with a close embrace;
4880,"Then, hon’ring him with gifts above the rest,"
4881,"Turn’d the bad omen, nor his fears confess’d."
4882,"“The gods,” said he, “this miracle have wrought,"
4883,And order’d you the prize without the lot.
4884,"Accept this goblet, rough with figur’d gold,"
4885,Which Thracian Cisseus gave my sire of old:
4886,"This pledge of ancient amity receive,"
4887,Which to my second sire I justly give.”
4888,"He said, and, with the trumpets’ cheerful sound,"
4889,"Proclaim’d him victor, and with laurel-crown’d."
4890,"Nor good Eurytion envied him the prize,"
4891,Tho’ he transfix’d the pigeon in the skies.
4892,"Who cut the line, with second gifts was grac’d;"
4893,The third was his whose arrow pierc’d the mast.
4894,"The chief, before the games were wholly done,"
4895,"Call’d Periphantes, tutor to his son,"
4896,And whisper’d thus: “With speed Ascanius find;
4897,"And, if his childish troop be ready join’d,"
4898,"On horseback let him grace his grandsire’s day,"
4899,And lead his equals arm’d in just array.”
4900,"He said; and, calling out, the cirque he clears."
4901,"The crowd withdrawn, an open plain appears."
4902,"And now the noble youths, of form divine,"
4903,"Advance before their fathers, in a line;"
4904,The riders grace the steeds; the steeds with glory shine.
4905,"Thus marching on in military pride,"
4906,Shouts of applause resound from side to side.
4907,"Their casques adorn’d with laurel wreaths they wear,"
4908,Each brandishing aloft a cornel spear.
4909,Some at their backs their gilded quivers bore;
4910,Their chains of burnish’d gold hung down before.
4911,Three graceful troops they form’d upon the green;
4912,Three graceful leaders at their head were seen;
4913,"Twelve follow’d ev’ry chief, and left a space between."
4914,"The first young Priam led; a lovely boy,"
4915,Whose grandsire was th’ unhappy king of Troy;
4916,"His race in after times was known to fame,"
4917,New honours adding to the Latian name;
4918,And well the royal boy his Thracian steed became.
4919,"White were the fetlocks of his feet before,"
4920,And on his front a snowy star he bore.
4921,"Then beauteous Atys, with Iulus bred,"
4922,"Of equal age, the second squadron led."
4923,"The last in order, but the first in place,"
4924,"First in the lovely features of his face,"
4925,"Rode fair Ascanius on a fiery steed,"
4926,"Queen Dido’s gift, and of the Tyrian breed."
4927,"Sure coursers for the rest the king ordains,"
4928,"With golden bits adorn’d, and purple reins."
4929,"The pleas’d spectators peals of shouts renew,"
4930,And all the parents in the children view;
4931,"Their make, their motions, and their sprightly grace,"
4932,And hopes and fears alternate in their face.
4933,Th’ unfledg’d commanders and their martial train
4934,First make the circuit of the sandy plain
4935,"Around their sires, and, at th’ appointed sign,"
4936,"Drawn up in beauteous order, form a line."
4937,"The second signal sounds, the troop divides"
4938,"In three distinguish’d parts, with three distinguish’d guides"
4939,"Again they close, and once again disjoin;"
4940,"In troop to troop oppos’d, and line to line."
4941,They meet; they wheel; they throw their darts afar
4942,With harmless rage and well-dissembled war.
4943,Then in a round the mingled bodies run:
4944,"Flying they follow, and pursuing shun;"
4945,"Broken, they break; and, rallying, they renew"
4946,In other forms the military shew.
4947,"At last, in order, undiscern’d they join,"
4948,And march together in a friendly line.
4949,"And, as the Cretan labyrinth of old,"
4950,"With wand’ring ways and many a winding fold,"
4951,"Involv’d the weary feet, without redress,"
4952,"In a round error, which denied recess;"
4953,"So fought the Trojan boys in warlike play,"
4954,"Turn’d and return’d, and still a diff’rent way."
4955,Thus dolphins in the deep each other chase
4956,"In circles, when they swim around the wat’ry race."
4957,"This game, these carousels, Ascanius taught;"
4958,"And, building Alba, to the Latins brought;"
4959,Shew’d what he learn’d: the Latin sires impart
4960,To their succeeding sons the graceful art;
4961,"From these imperial Rome receiv’d the game,"
4962,"Which Troy, the youths the Trojan troop, they name."
4963,Thus far the sacred sports they celebrate:
4964,But Fortune soon resum’d her ancient hate;
4965,"For, while they pay the dead his annual dues,"
4966,Those envied rites Saturnian Juno views;
4967,"And sends the goddess of the various bow,"
4968,To try new methods of revenge below;
4969,"Supplies the winds to wing her airy way,"
4970,Where in the port secure the navy lay.
4971,"Swiftly fair Iris down her arch descends,"
4972,"And, undiscern’d, her fatal voyage ends."
4973,"She saw the gath’ring crowd; and, gliding thence,"
4974,"The desert shore, and fleet without defence."
4975,"The Trojan matrons, on the sands alone,"
4976,With sighs and tears Anchises’ death bemoan;
4977,"Then, turning to the sea their weeping eyes,"
4978,Their pity to themselves renews their cries.
4979,"“Alas!” said one, “what oceans yet remain"
4980,For us to sail! what labours to sustain!”
4981,"All take the word, and, with a gen’ral groan,"
4982,"Implore the gods for peace, and places of their own."
4983,"The goddess, great in mischief, views their pains,"
4984,And in a woman’s form her heav’nly limbs restrains.
4985,"In face and shape old Beroe she became,"
4986,"Doryclus’ wife, a venerable dame,"
4987,"Once blest with riches, and a mother’s name."
4988,"Thus chang’d, amidst the crying crowd she ran,"
4989,"Mix’d with the matrons, and these words began:"
4990,"“O wretched we, whom not the Grecian pow’r,"
4991,"Nor flames, destroy’d, in Troy’s unhappy hour!"
4992,"O wretched we, reserv’d by cruel fate,"
4993,Beyond the ruins of the sinking state!
4994,"Now sev’n revolving years are wholly run,"
4995,Since this improsp’rous voyage we begun;
