,original,paraphrase,output,output_reference
219,"And therwithal he bleynte and cride, ""A!""
","""A!"" Said the man, and he leapt to his feet. ""A!"" He shouted, and he leapt to his feet. ""A!"" He..."," ""A!"" cried the man, and he leapt to his feet.","And with that he turned pale and cried, ""A!""
"
220,"As though he stongen were unto the herte.
",but she was strong enough to withstand the strength of the man., But she was strong enough to withstand the strength of the man.,"As though he were stabbed unto the heart.
"
221,"And with that cry Arcite anon up sterte
","with that cry, the arcite anon was lifted from the ground."," With that cry, the arcite was lifted from the ground.","And with that cry Arcite immediately leaped up
"
222,"And seyde, ""Cosyn myn, what eyleth thee,
","""Cosyn myn, what do you say, what do you say, what do you say, what do you say, what do you say,..."," ""Cosyn myn, what do you say, what do you say, what do you say, what do you say, what do you say, what do you say, what do you say, what do you say, what do you say, what do","And said, ""My cousin, what ails thee,
"
223,"That art so pale and deedly on to see?
",the art so beautiful and beautiful to see?, The art so beautiful and beautiful to see?,"Who art so pale and deadly to look upon?
"
224,"Why cridestow? Who hath thee doon offence?
",who's the one who's offended you?, Who is the one who offended you?,"Why didst thou cry out? Who has done thee offence?
"
225,"For Goddes love, taak al in pacience
","for God's love, taak al in comfort."," For God's love, taak al in comfort.","For the love of God, take all in patience
"
226,"Oure prisoun, for it may noon oother be.
","it's a prisoun, for it's not possible to be any other."," It is a prisoun, for it cannot be any other.","Our imprisonment, for it may not be otherwise.
"
227,"Fortune hath yeven us this adversitee.
",we have a great deal of fortune in this case., We have a great fortune in this case.,"Fortune has given us this adversity.
"
228,"Som wikke aspect or disposicioun
",Som wikke aspect or disposicioun, Som wikke aspect or disposicioun,"Some wicked aspect or disposition
"
229,"Of Saturne, by som constellacioun,
","by the constellacioun, by the constellacioun, by the constellacioun, by the constellacioun, by the..."," By the constellacioun, by the constellacioun, by the constellacioun, by the constellacioun, by the constellacioun, by the...","Of Saturn, by some arrangement of the heavenly bodies,
"
230,"Hath yeven us this, although we hadde it sworn;
","we swear we didn't, but we promised."," We swear we did not, but we promised.","Has given us this, although we had sworn it would not be;
"
231,"So stood the hevene whan that we were born.
",the hevene stood up and we were born., The hevene stood up and we were born.,"So stood the heavens when we were born.
"
232,"We moste endure it; this is the short and playn.""
","it's a short and easy game, so it's a short and easy game. """," It is a short and easy game, so it is a short and easy game.","We must endure it; this is the short and plain.""
"
233,"This Palamon answerde and seyde agayn,
","the Palamon answered and said, ""I'm sorry, but I'm sorry, but I'm sorry."""," And the PalâĢĻs answered and said, "" I am sorry, but I am sorry, but I am sorry.","This Palamon answered and said in reply,
"
234,"""Cosyn, for sothe, of this opinioun
","Cosyn, for the opinion of the Council, of this opinion, of this opinion, of this opinion, of this..."," Cosyn, for the opinion of the Council, of this opinion, of this...","""Cousin, truly, concerning this opinion
"
235,"Thow hast a veyn ymaginacioun.
",Veyn ymaginacioun., Veyn ymaginacioun.,"Thou hast a foolish conception.
"
236,"This prison caused me nat for to crye,
","I was crying for a moment, and then I cried."," I cried for a moment, and then I cried.","This prison did not cause me to cry out,
"
237,"But I was hurt right now thurghout myn ye
","I'm hurt right now, but I'm not gonna hurt you."," I am hurt right now, but I am not to hurt you.","But I was hurt right now through my eye
"
238,"Into myn herte, that wol my bane be.
",I'm gonna take my bane to my nag., I take my bane to my nag,"Into my heart, so that it will be the death of me.
"
239,"The fairnesse of that lady that I see
","the lady I've seen, the lady I've seen, the lady I've seen."," The lady I saw, the lady I saw, the lady I saw, the lady I saw, the lady I saw, the lady I saw, the lady I saw, the lady I saw, the lady I saw, the lady I saw, the lady I saw, the lady I saw, the lady I saw,","The fairness of that lady whom I see
"
240,"Yond in the gardyn romen to and fro
",on the gardyn romen to the gardyn romen., On the gardyn romen to the gardyn romen.,"Yonder in the garden roaming to and fro
"
241,"Is cause of al my criyng and my wo.
",cause I'm a criyng and a woe., Cause I am a criyng and a woe.,"Is cause of all my crying and my woe.
"
242,"I noot wher she be womman or goddesse,
","noot wher she's a woman or a woman, noot wher she's a woman."," Noot wher she be a woman or a woman, noot wher she be a woman.","I know not whether she is woman or goddess,
"
243,"But Venus is it soothly, as I gesse.""
","""it's a shame, as I'm sure you know."""," "" It is a shame, as I know,","But truly it is Venus, as I suppose.""
"
244,"And therwithal on knees doun he fil,
","he was on his knees, and he was on his knees, and he was on his knees."," And he was on his knees, and he was on his knees, and he was on his knees.","And with that he fell down on his knees,
"
245,"And seyde, ""Venus, if it be thy wil
","""Venus, if it's your will, Venus, if it's your will, Venus."," Venus, if it be your will, Venus, if it be your will, Venus.","And said, ""Venus, if it be thy will
"
246,"Yow in this gardyn thus to transfigure
",so that the gardyn will be transformed into a gardyn., So that the gardyn shall be transformed into a gardyn.,"Thus to transfigure yourself in this garden
"
247,"Bifore me, sorweful, wrecched creature,
","if I'm not mistaken, it's a creature of the Fomorians."," If I be not mistaken, it is a Fomorian.","Before me, sorrowful, wretched creature,
"
248,"Out of this prisoun help that we may scapen.
","we can help you with this help, which we can also scapen."," We can help you with this help, which we can also scapen.","Help that we may escape out of this prison.
"
249,"And if so be my destynee be shapen
","if so, my dear, my dear, my dear, my dear, my dear, my dear, my dear, my dear, my dear, my dear, my"," If so, my dear, my dear, my dear, my dear, my dear, my dear, my ","And if it be so that my destiny is shaped
"
250,"By eterne word to dyen in prisoun,
","eterne word to dyen in the name of the dyen,"," eterne word to dyen in the name of the dyen,","By eternal decree to die in prison,
"
251,"Of oure lynage have som compassioun,
","the oure Lynage is som compassioun,"," The oure Lynage is som compassioun,","Have some compassion on our (noble) lineage
"
252,"That is so lowe ybroght by tirannye.""
","it's a little low, but it's a good thing. """," It's a little low, but it's a good thing. ""","Which is brought so low by tyranny.""
"
253,"And with that word Arcite gan espye
",with the word arcite gan especiale especiale especiale especiale especiale especiale especial, With the word arcite gan especiale especiale especiale especiale espe ,"And with that word Arcite did see
"
254,"Wher as this lady romed to and fro,
","as she danced and danced, she was dancing, and danced, and danced, and danced, and danced, and..."," And as she danced and danced, and danced, and danced, and danced, and...","Where this lady roamed to and fro,
"
255,"And with that sighte hir beautee hurte hym so,
","with that look, he was a little surprised."," He was a little surprised, with that look,","And with that sight her beauty hurt him so,
"
256,"That, if that Palamon was wounded sore,
","if Palamon was wounded, he would be wounded."," If Palamon was wounded, he would be wounded.","That, if Palamon was sorely wounded,
"
257,"Arcite is hurt as muche as he, or moore.
","as he, or mooor, or mooor, or mooor, or mooor, or mooor, or mooor, or mooor, or m"," As he or mooor, or mooor, or mooor, or mooor, or mooor, or moo ","Arcite is hurt as much as he, or more.
"
258,"And with a sigh he seyde pitously,
","he sighed, and then he sighed again, and then he sighed. He sighed again, and then he sighed. He..."," He sighed, and then sighed again, and then sighed.","And with a sigh he said piteously,
"
259,"""The fresshe beautee sleeth me sodeynly
",the fresshe is a little bit of a sodeynly., The fresshe is a little bit of sodeynly.,"""The fresh beauty slays me suddenly
"
260,"Of hire that rometh in the yonder place;
",the hire of the rometh in the next place;, The hire of the rometh in the next place;,"Of her who roams in the yonder place;
"
261,"And but I have hir mercy and hir grace,
","but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm..."," But I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I","And unless I have her mercy and her grace,
"
262,"That I may seen hire atte leeste weye,
","I'm sure I'll see a hire in the tees, we'll see."," I know I shall see a hire in the tees, we'll see.","So that I can at least see her,
"
263,"I nam but deed; ther nis namoore to seye.""
","""but it's not just a deed, it's a deed."""," "" But it is a deed, and it is a deed.","I am as good as dead; there is no more to say.""
"
264,"This Palamon, whan he tho wordes herde,
","when he heard the word, Palamon, who was a little surprised, said, 'What is it, my dear? 'Said..."," PalâĢĻs eyes were startled, when he heard the word, and he said, What is it, my dear?","This Palamon, when he heard those words,
"
265,"Dispitously he looked and answerde,
","he looked and answered, and then he looked again. He was looking again, and then again. He looked..."," He looked and answered, and then answered again.","Angrily he looked and answered,
"
266,"""Wheither seistow this in ernest or in pley?""
",whenever you want to go to the seist or the pley?'," When you want to go to the seist or pley,","""Sayest thou this in earnest or in play?""
"
267,"""Nay,"" quod Arcite, ""in ernest, by my fey!
","no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,"," No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,","""Nay,"" said Arcite, ""in earnest, by my faith!
"
268,"God helpe me so, me list ful yvele pleye.""
","""listen, I'm going to be a list of yves."""," ""listen, I am to be a list of yves.""","So help me God, I have no desire to play.""
"
269,"This Palamon gan knytte his browes tweye.
",Palamon's brow furrowed with a brow furrow., Palamon's brow furrowed with a brow furrow.,"This Palamon did knit his two brows.
"
270,"""It nere,"" quod he, ""to thee no greet honour
","""no thanks,"" he said, ""I'm not welcome to you."""," "" No thanks, "" he said, "" I am not worthy of your welcome. ""","""It would not be,"" said he, ""any great honor to thee
"
271,"For to be fals, ne for to be traitour
","to be a lie, ne for a traitor."," To lie, ne for a traitor,","To be false, nor to be traitor
"
272,"To me, that am thy cosyn and thy brother
",that's your cosyn and your brother's cosyn., That's your cosyn and your brother's cosyn,"To me, who am thy cousin and thy brother
"
273,"Ysworn ful depe, and ech of us til oother,
","we swear to you, we will not be able to do it, but we will."," We swear to thee, we will not be able to do it, but we will.","Sworn very sincerely, and each of us to the other,
"
274,"That nevere, for to dyen in the peyne,
","nevere, for the peyns, for the peyns, for the peyns, for the peyns, for the peyns, for the peyns,..."," nevere, for the peyns, for the peyns, for the peyns, for the peyns, for the peyns, for the peyns, for the peyn","That never, though we had to die by torture,
"
275,"Til that the deeth departe shal us tweyne,
","we will be able to leave the deeth, we will be able to leave the deeth."," We shall be able to leave the deeth, we shall be able to leave the deeth.","Until death shall part us two,
"
276,"Neither of us in love to hyndre oother,
","we don't love hyndre oother, but we love him."," We love hyndre oother, but we love him.","Neither of us in love (is) to hinder the other,
"
277,"Ne in noon oother cas, my leeve brother,
","in the afternoon, my brother, my brother, my brother, my brother, my brother, my brother, my..."," In the afternoon, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my ","Nor in any other case, my dear brother,
"
278,"But that thou sholdest trewely forthren me
","you should have done it with me, but you didn't."," You should have done it with me, but you didn't.","But rather thou shouldest truly help me
"
279,"In every cas, as I shal forthren thee --
",as I'm shaltering you -- as I'm shaltering you -- as I'm shaltering you -- as I'm shaltering you --..., As I shalter thee--as I shalter thee--as I shalter thee--as I shalter thee--as I shalter thee--as I shalter thee--as I shalter thee--as I,"In every case, as I shall help thee --
"
280,"This was thyn ooth, and myn also, certeyn;
","it was thyn ooth, and myn, certeyn;"," thyn ooth, and certeyn,","This was thy oath, and mine also, certainly;
"
281,"I woot right wel, thou darst it nat withseyn.
","well, you don't have to be afraid of it, you know."," Well, you don't have to fear it, you know.","I know right well, thou darest not deny it.
"
282,"Thus artow of my conseil, out of doute,
","artow of my conseil, out of the ditch,"," Artow of my conseil, out of the ditch,","Thus thou art my trusted confidant, without doubt,
"
283,"And now thow woldest falsly been aboute
",now it's about the best thing to do is to be a fool., Now it is a good thing to be a fool.,"And now thou wouldest falsely be busy preparing
"
284,"To love my lady, whom I love and serve,
","love my lady, who likes me and I like her."," Love my lady, who loves me and I love her.","To love my lady, whom I love and serve,
"
285,"And evere shal til that myn herte sterve.
",I'm gonna take myn to myn., I'm gonna take myn to myn,"And ever shall until my heart dies.
"
286,"Nay, certes, false Arcite, thow shalt nat so.
","yes, certes, false Arcite, you don't have to."," Yes certes, false Arcite, you don't have to.","Nay, certainly, false Arcite, thou shalt not (do) so.
"
287,"I loved hire first, and tolde thee my wo
","I've been a hire, and I told you I loved it."," I told you I loved it, and I told you I loved it.","I loved hire first, and told thee my woe
"
288,"As to my conseil and my brother sworn
","to my brother and my brother's brother, I swear to you."," To my brother and my brother's brother, I swear to thee.","As to my confidant and my sworn brother
"
289,"To forthre me, as I have toold biforn.
","as I've told you, I'm going to tell you the truth."," As I told you, IâĢĻll tell you the truth.","To further me, as I have told before.
"
290,"For which thou art ybounden as a knyght
",for which you're bound by a knyght of knyght., For which ye are bound by a knyght of knyght.,"For which thou art bound as a knight
"
291,"To helpen me, if it lay in thy myght,
","if it's in my power, I'll help you."," If it's in my power, I'll help you.","To help me, if it lay in thy power,
"
292,"Or elles artow fals, I dar wel seyn.""
","""I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm..."," I'm sorry, but IâĢĻllâĢĻtâĻtâĢĻtâĢĻtâĻtâĢĻtâĻtâĢ","Or else thou art false, I dare well say.""
"
293,"This Arcite ful proudly spak ageyn:
",Arcite ful proudly spake:, Arcite ful proudly spake:,"This Arcite full proudly spoke in return:
"
294,"""Thow shalt,"" quod he, ""be rather fals than I;
","""be a little more of a lie than I,"" he said, ""but I'll be fine."""," "" Be a little more of a lie than I am, "" he said, "" but I'll be fine. ""","""Thou shalt,"" said he, ""be rather false than I;
"
295,"And thou art fals, I telle thee outrely,
","you're a liar, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you,..."," You lie, I tell you, I tell you, I tell you, I tell you, I tell you, I tell you, I tell you, I tell you, I tell you, I tell you, I ","And thou art false, I tell thee flatly,
"
296,"For paramour I loved hire first er thow.
","I loved the hire of the bride, but I didn't want to hire her."," I loved the hire of the bride, but I did not want to hire her.","As a mistress I loved her first before thou.
"
297,"What wiltow seyen? Thou woost nat yet now
",you don't have to be a wiltow to be a wiltow., You cannot be wiltow to be a wiltow.,"What wilt thou say? Thou knowest not yet now
"
298,"Wheither she be a womman or goddesse!
",she's a woman or a woman-woman!, She is a woman or a woman-woman!,"Whether she is a woman or goddess!
"
299,"Thyn is affeccioun of hoolynesse,
","the hoolynesse is a hoolynesse, a hoolynesse, a hoolynesse, a hoolynesse, a"," The hoolynesse is a hoolynesse, a hoolynesse, a hoolynesse, a hoolynesse, a","Thine is a feeling of holiness,
"
300,"And myn is love as to a creature;
",myn is love for a creature;, Myn is love for a creature;,"And mine is love as to a creature;
"
301,"For which I tolde thee myn aventure
","I'm telling you my adventure, and I'm telling you my adventure."," I tell you my adventure, and tell you my adventure.","For which I told thee my circumstance
"
302,"As to my cosyn and my brother sworn.
","my brother and I swear to you, my brother."," My brother and I swear to you, my brother.","As to my cousin and my sworn brother.
"
303,"I pose that thow lovedest hire biforn;
",I'm gonna take a look at the hire biforn;, I will take a look at hire biforn;,"I posit (this assumption): that thou lovedest her first;
"
304,"Wostow nat wel the olde clerkes sawe,
","the old-fashioned priest's sawe, the old-fashioned priest's sawe, the old-fashioned priest's sawe."," The old-fashioned priest's sawe, the old-fashioned priest's sawe, the old-fashioned priest's sawe, the old-fashioned priest's sawe, the old-fashioned priest's sawe","Knowest thou not well the old clerks' saying,
"
305,"That `who shal yeve a lovere any lawe?'
","""who's gonna love you any law?"""," ""Who loveth thee, who loveth thee, who loveth thee, who loveth thee, who loveth thee, who loveth thee, who loveth thee, who loveth thee, who loveth thee, who loveth thee, who loveth thee, who loveth thee, who loveth thee, who loveth thee, who loveth thee","That `who shall give a lover any law?'
"
306,"Love is a gretter lawe, by my pan,
","it's a gretner's law, by my pan."," It is a gretner's law, by my pan.","Love is a greater law, by my skull,
"
307,"Than may be yeve to any erthely man;
",then you can be any man to any erthely man., Then you can be any man to any man.,"Than may be given to any earthly man;
"
308,"And therfore positif lawe and swich decree
","therefore, the law of positiv law and the decree of the Council of the Council of the Council of..."," Therefore, the law of positiv law and the decree of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of ","And therefore positive (man-made) law and such decree
"
309,"Is broken al day for love in ech degree.
",the love of love is broken every day., The love of love is broken every day.,"Is broken every day for love in every way.
"
310,"A man moot nedes love, maugree his heed;
","a man's love, a man's love, a man's love, a man's love, a man's love, a man's love, a man's love, a"," A man's love, a man's love, a man's love, a man's love, a man's love, a man's love, a man's love, a man's love, a man's love, a man's","A man must of necessity love, in spite of all he can do;
"
311,"He may nat fleen it, thogh he sholde be deed,
","he may be nat fleen, but he must have done it, he must have done it."," He may be nat fleen, but he must have done it, he must have done it.","He can not flee (from) it, though he should be dead,
"
312,"Al be she mayde, or wydwe, or elles wyf.
","she may be a wydwe, or wydwe, or wydwe."," She may be a wydwe, or wydwe, or wydwe, or","Whether she be maid, or widow, or else wife.
"
313,"And eek it is nat likly al thy lyf
","it's a good thing that you're not a man, but it's a shame you're not a man."," It is a good thing that you are not a man, but it is a shame that you are not a man.","And also it is not likely all thy life
"
314,"To stonden in hir grace; namoore shal I;
",stonden in the grace of the Holy Mother; namoore shal I;, Stonden in the grace of the Holy Mother; namoore shal I;,"To stand in her good graces; no more shall I;
"
315,"For wel thou woost thyselven, verraily,
","you're gonna be a great deal of fun, you know, for me.", You know you're gonna be a great deal of fun for me,"For well thou thyself knowest, truly,
"
316,"That thou and I be dampned to prisoun
",we're dampened by the fact that we're both wet., We are both dampened by the fact that we both wet ourselves.,"That thou and I are condemned to prison
"
317,"Perpetuelly; us gayneth no raunsoun.
","it's a little bit of a gayneth, but it's not a bad thing."," It is a little bit of gayneth, but it is not a bad thing.","Perpetually; no ransom can help us.
"
318,"We stryve as dide the houndes for the boon;
","the stryve is a dide to the hound, for the boon;"," The stryve is a dide to the hound, for the boon;","We strive as the hounds did for the bone;
"
319,"They foughte al day, and yet hir part was noon.
","he was fainting, but he was still alive. He had a part in the day, but he was still alive."," He was fainting, but still alive.","They fought all day, and yet their share was nothing.
"
320,"Ther cam a kyte, whil that they were so wrothe,
","the kyte, whil they were so wry, was a kyte."," The kyte, whil they were so wry,","There came a kite, while they were so angry,
"
321,"And baar awey the boon bitwixe hem bothe.
","the boon is a bit of a bane, bhail! Bhail! Bhail! Bhail! Bhail! Bhail! Bh"," The boon is a bane, bhail!","And carried away the bone between them both.
"
322,"And therfore, at the kynges court, my brother,
","so my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother,..."," So my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my","And therefore, at the king's court, my brother,
"
323,"Ech man for hymself, ther is noon oother.
","it's noon, man, and it's a good day."," It's noon, man, and it's a good day.","Each man for himself, there is no other (way).
"
324,"Love, if thee list, for I love and ay shal;
","if you're on the list, I love you and I'm glad you're on it;"," If you are on the list, I love you;","Love, if it please thee, for I love and always shall;
"
325,"And soothly, leeve brother, this is al.
","oh, my God, it's all right, my dear brother. It's all right."," Oh, my God, it all right, my brother.","And truly, dear brother, this is all.
"
326,"Heere in this prisoun moote we endure,
","we're in this prisoun, we're in this prisoun, we're in this prisoun."," We are in this prisoun, we are in this prisoun","Here in this prison we must endure,
"
327,"And everich of us take his aventure.""
","we're taking him on our adventures. """," We are taking him on our adventures. ""","And each one of us take his chance.""
"
328,"Greet was the strif and long bitwix hem tweye,
","the strif and long-haired wix was a long-haired wix,"," The strif and long-haired wix was a long-haired wix,","Great and long was the strife between them two,
"
329,"If that I hadde leyser for to seye;
",I'm gonna have a look at the seer; I'll see if I can find out what it is., I shall look upon the seer; I shall see if I can find out what it is.,"If I had leisure to tell (it);
"
330,"But to th'effect. It happed on a day,
","the day of the day, the day of the day, the day of the day, the day of the day, the day of the day,..."," And the day of the day, the day of the day, the day of the day, the day of the day, the day of the day, the day of the day, the day of the day, the day of the day, the day of the day,","But to the point. It happened on a day,
"
331,"To telle it yow as shortly as I may,
","as soon as I can, I'll tell you what I have."," As soon as I can, I'll tell you what I have.","To tell it to you as briefly as I can,
"
332,"A worthy duc that highte Perotheus,
","a worthy ducat Perotheus, a worthy ducat Perotheus, a worthy ducat Perotheus, a worthy ducat..."," A worthy ducat Perotheus, a worthy ducat Perotheus, a worthy ducat...","A worthy duke that was called Perotheus,
"
333,"That felawe was unto duc Theseus
",Felawe was the name of the ducat Theseus., Felawe was the name of the ducat Theseus.,"Who was a friend to duke Theseus
"
334,"Syn thilke day that they were children lite,
","the day they were kids, they were children."," And the day they were children, they were children.","Since that same time that they were little children,
"
335,"Was come to Atthenes his felawe to visite,
",he came to Atthenes with a felawe to the eye.," He came to Atthenes with a felawe to the eye,","Had come to Athens to visit his friend,
"
336,"And for to pleye as he was wont to do;
",for he's always doing it as he likes;, For he always does it as he likes;,"And to amuse himself as he was accustomed to do;
"
337,"For in this world he loved no man so,
","he loved no man in this world, and he loved no man in this world."," For he loved no man in this world, and he loved no man in this world.","For in this world he loved no man so (much),
"
338,"And he loved hym als tendrely agayn.
",he likes hym als tendrils agayn., He likes hym als tendrils agayn.,"And he (Theseus) loved him as tenderly in turn.
"
339,"So wel they lovede, as olde bookes sayn,
","as old as the book says, they loved it."," And as old as the book says, they loved it.","So well they loved, as old books say,
"
340,"That whan that oon was deed, soothly to telle,
","when he did, he was a good man, so he said, so he said."," And when he did, he was a good man, so he said.","That when one was dead, truly to tell,
"
341,"His felawe wente and soughte hym doun in helle --
","he was a felawe, a southerner, a southerner, a southerner, a southerner, a southerner, a southerner"," He was a felawe, a southerner, a southerner, a southerner, a southerner, a southerner, a southerner, a southerner, a southerner, a southerner","His friend went and sought him down in hell --
"
342,"But of that storie list me nat to write.
",I'm writing this list of my list of things to write., I wrote this list of things to write,"But of that story I do not desire to write.
"
343,"Duc Perotheus loved wel Arcite,
","the Perotheus was fond of the Arcite, and the Arcite liked the Perotheus."," The Arcite was fond of the Perotheus, and the Arcite liked the Perotheus.","Duke Perotheus loved well Arcite,
"
344,"And hadde hym knowe at Thebes yeer by yere,
","he knew the hym of Thebes, by the way, by yere."," He knew the hym of Thebes, by the way, by yere.","And had known him at Thebes year after year,
"
345,"And finally at requeste and preyere
","and finally, the prey is requested and prey is preyed upon."," And finally, the prey is requested and preyed upon.","And finally at request and prayer
"
346,"Of Perotheus, withouten any raunsoun,
","withouten any raunsoun, Perotheus, withouten any raunsoun."," Withouten any raunsoun, Perotheus, withouten any raunsoun.","Of Perotheus, without any ransom,
"
347,"Duc Theseus hym leet out of prisoun
",Duc Theodorus hym leet out of the prisoun, Duc Theodorus hym leet out of prisoun,"Duke Theseus let him out of prison
"
348,"Frely to goon wher that hym liste over al,
","to goon wher he's gonna be, he's gonna be, he's gonna be, he's gonna be, he's gonna be, he's gonna..."," To goon wher heâĢĻs, heâĢĻs, heâĢĻs, heâĢĻs, heâĢĻs, heâĢĻs","Freely to go all over, wherever he wishes,
"
349,"In swich a gyse as I you tellen shal.
","I'll tell you what you want to know, I'll tell you what you want to know."," I'll tell you what you want to know, I'll tell you what you want to know.","In such a manner as shall I tell you.
"
350,"This was the forward, pleynly for t'endite,
","it was a forward, pungent for the end of the game,"," It was a forward, pungent for the end of the game,","This was the agreement, plainly to write,
"
351,"Bitwixen Theseus and hym Arcite:
",theodosia and theodosia:, Theodosia and theodosia:,"Between Theseus and this Arcite:
"
352,"That if so were that Arcite were yfounde
","if so, the Arcite would be found."," If so, the Arcite would be found.","That if it so were that Arcite were found
"
353,"Evere in his lif, by day or nyght, oo stounde
","he's got a lot of work to do, by day or night, he's got a lot of work to do."," He hath a lot of work to do, by day or night, he is a day or night.","Ever in his life, by day or night, at any moment
"
354,"In any contree of this Theseus,
","in any of the contrees of the Theseus,"," In any contrivance of the Theseus,","In any country of this Theseus,
"
355,"And he were caught, it was acorded thus,
","he was caught, and he was taken away, and he was taken away."," And he was taken away, and he was taken away, and he was taken away.","And if he were caught, it was agreed thus,
"
356,"That with a swerd he sholde lese his heed.
",he must be careful to keep his attention to the swerd., He must be careful to keep his attention to the swerd.,"That with a sword he should lose his head.
"
357,"Ther nas noon oother remedie ne reed;
","nostalgia, pain, headache, dizziness, somnolence, somnolence, somnolence, somnolence, somnolence,..."," My memories, my pain, my dizziness, my somnolence, my somnolence, somnolence, somnolence, somnolence, somnolence, somnolence, somnolence,","There was no other remedy nor course of action;
"
358,"But taketh his leve, and homward he him spedde.
","he ran, and homward took off his hat and hat."," He ran, and homward took off his hat and hat.","But (he) takes his leave, and homeward he sped.
"
359,"Lat hym be war! His nekke lith to wedde.
",he's gonna marry his nekke lith to his wife., He shall marry his nekke lith to his wife.,"Let him be ware! His neck lies as a pledge.
"
360,"How greet a sorwe suffreth now Arcite!
","hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello,..."," hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello,","How great a sorrow now suffers Arcite!
"
361,"The deeth he feeleth thurgh his herte smyte;
",the deeth is the thurgh of the herte; the herte is the thurgh., The deeth is thurgh the herte; the herte is thurgh.,"He feels the death smite through his heart;
"
362,"He wepeth, wayleth, crieth pitously;
","weep, wepeth, crieth pitifully;
weep, wepeth, crieth pitifully;"," weep, wepeth, crieth pitifully;","He weeps, wails, cries piteously;
"
363,"To sleen hymself he waiteth prively.
",he waits for the next time he's going to be., He waits for the next time he goes.,"To slay himself he secretly awaits (an opportunity).
"
364,"He seyde, ""Allas that day that I was born!
","""as I was born, I was all right!"" Said Seyde."," "" As I was born, I was all right!","He said, ""Alas that day that I was born!
"
365,"Now is my prisoun worse than biforn;
",I'm worse than a biforn than a prisoun., I worse than a biforn than a prisoun.,"Now my prison is worse than before;
"
366,"Now is me shape eternally to dwelle
","I'm shape forever, forever, forever, forever, forever, forever, forever, forever, forever, forever,..."," I am shape ever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever","Now I am destined eternally to dwell
"
367,"Noght in purgatorie, but in helle.
","it's a little bit of a purgator, but it's a good thing."," It's a little bit of purgatory, but it's a good thing.","Not in purgatory, but in hell.
"
368,"Allas, that evere knew I Perotheus!
","as I know, Perotheus, I know you're Perotheus!"," Perotheus, as I know, Perotheus!","Alas, that ever I knew Perotheus!
"
369,"For elles hadde I dwelled with Theseus,
","I've been thinking about theseus, and I'm thinking of Elles."," I have been thinking of theseus, and I am thinking of Elles.","For else I would have remained with Theseus,
"
370,"Yfetered in his prisoun everemo.
",he was taken to the prisoun everemo by his prisoun., He was taken to the prisoun everemo by his prisoun.,"Fettered in his prison evermore.
"
371,"Thanne hadde I been in blisse and nat in wo.
",I was in a state of confusion and confusion., I was in a state of confusion and confusion.,"Then would I have been in bliss and not in woe.
"
372,"Oonly the sighte of hire whom that I serve,
","only the sight of the hire I'm working for,"," Only the sight of the hire I am working for,","Only the sight of her whom I serve,
"
373,"Though that I nevere hir grace may deserve,
","I'm not gonna be able to do it, I'm not worthy of it, I don't deserve it."," I cannot do it, I cannot deserve it, I cannot deserve it, I cannot deserve it.","Though I never can deserve her grace,
"
374,"Wolde han suffised right ynough for me.
","I was right about him, but he didn't want to. He wanted to be right."," I was right about him, but he did not want to be right.","Would have sufficed right enough for me.
"
375,"O deere cosyn Palamon,"" quod he,
","""because he's a man,"" he said, ""he's a man,"" he said, ""he's a man."""," And he said, "" Because he is a man, "" he said, "" he is a man. ""","O dear cousin Palamon,"" said he,
"
376,"""Thyn is the victorie of this aventure.
",Thyn is the victor of this adventure., Thyn is the victor of this adventure.,"""The victory of this adventure is thine.
"
377,"Ful blisfully in prison maistow dure --
","in prison, he was a fool -- a fool in prison --"," In prison, he was a fool--a fool in prison--","Very blissfully in prison thou can remain --
"
378,"In prison? Certes nay, but in paradys!
","Certes nay, but in the Paradys! Certes nay, but in the Paradys! Certes nay, but in the Paradys!..."," And in the Paradys,","In prison? Certainly not, but in paradise!
"
379,"Wel hath Fortune yturned thee the dys,
","you have turned your fortune upside down, you've turned your fortune upside down."," You have turned your fortune upside down, you have turned your fortune upside down","Well has Fortune turned the dice for thee,
"
