,ASV_Original,ASV_Paraphrased,BBE_Original
176,"Remember the word that I said unto you, A servant is not greater than his lord. If they persecuted me, they will also persecute you; if they kept my word, they will keep yours also. 
","if they attack me, they will attack me, too, if they have my word.","Keep in mind the words I said to you, A servant is not greater than his lord. If they were cruel to me, they will be cruel to you; if they kept my words, they will keep yours.
"
177,"But all these things will they do unto you for my name's sake, because they know not him that sent me. 
","for my name's sake, they will do everything for my name.","They will do all this to you because of my name--because they have no knowledge of him who sent me.
"
178,"If I had not come and spoken unto them, they had not had sin: but now they have no excuse for their sin. 
","they don't have to apologize for their sin, but they don't have to apologize for their sin.","If I had not come and been their teacher they would have had no sin: but now they have no reason to give for their sin.
"
179,"He that hateth me hateth my Father also. 
","I'm not gonna be able to do it, my father.","He who has hate for me has hate for my Father.
"
180,"If I had not done among them the works which none other did, they had not had sin: but now have they both seen and hated both me and my Father. 
","they saw me and my father, and they hated me and my father.","If I had not done among them the works which no other man ever did, they would have had no sin: but now they have seen, and they have had hate in their hearts for me and my Father.
"
181,"But this cometh to pass, that the word may be fulfilled that is written in their law, They hated me without a cause. 
","it's going to be, that the word of the law is fulfilled, that they hate me for no reason.","This comes about so that the writing in their law may be made true, Their hate for me was without cause.
"
182,"But when the Comforter is come, whom I will send unto you from the Father, even the Spirit of truth, which proceedeth from the Father, he shall bear witness of me: 
","when the Comforter comes, who will come from the Father, the Spirit of truth, which is from the Father, I will testify to him:","When the Helper comes, whom I will send to you from the Father even the Spirit of true knowledge who comes from the Father--he will give witness about me;
"
183,"and ye also bear witness, because ye have been with me from the beginning.","you're also testifying, because you've been with me from the beginning.","And you, in addition, will give witness because you have been with me from the first.
"
184,"And after five days the high priest Ananias came down with certain elders, and with an orator, one Tertullus; and they informed the governor against Paul. 
","the High Priest Ananias, with a certain elder, and with a speech, one Tertullus, informed the governor of Paul.","And after five days, the high priest, Ananias, came with certain of the rulers, and an expert talker, one Tertullus; and they made a statement to Felix against Paul.
"
185,"And when he was called, Tertullus began to accuse him, saying, Seeing that by thee we enjoy much peace, and that by thy providence evils are corrected for this nation, 
","when he was called, Tertullus began to accuse him, saying, We're enjoying a lot of peace, and that you're correcting the bad things that happen to us.","And when he had been sent for, Tertullus, starting his statement, said, Because by you we are living in peace, and through your wisdom wrongs are put right for this nation,
"
186,"we accept it in all ways and in all places, most excellent Felix, with all thankfulness. 
","Felix, with all thanks, accepts all of them and all places, with all thanks.","In all things and in all places we are conscious of our great debt to you, most noble Felix.
"
187,"But, that I be not further tedious unto thee, I entreat thee to hear us of thy clemency a few words. 
",I beg you to tell us a few words of your clemency.,"But, so that I may not make you tired, I make a request to you of your mercy, to give hearing to a short statement.
"
188,"For we have found this man a pestilent fellow, and a mover of insurrections among all the Jews throughout the world, and a ringleader of the sect of the Nazarenes: 
","we've found a pestilent fellow, a mover of all the Jews in the world, a leader of the Nazarenes:","For this man, in our opinion, is a cause of trouble, a maker of attacks on the government among Jews through all the empire, and a chief mover in the society of the Nazarenes:
"
189,"who moreover assayed to profane the temple: on whom also we laid hold:  
","in addition, we took hold of the temple: 
in addition, we have taken the temple:","Who, in addition, was attempting to make the Temple unclean: whom we took,
"
190,"
",,"[]
"
191,"from whom thou wilt be able, by examining him thyself, to take knowledge of all these things whereof we accuse him. 
","by examining him yourself, you will be able to find out everything we accuse him of.","And from whom you will be able, by questioning him yourself, to get knowledge of all the things which we say against him.
"
192,"And the Jews also joined in the charge, affirming that these things were so.
","the Jews also joined the charge, and they said it was true.","And the Jews were in agreement with his statement, saying that these things were so.
"
193,"And when the governor had beckoned unto him to speak, Paul answered, Forasmuch as I know that thou hast been of many years a judge unto this nation, I cheerfully make my defence: 
","when the governor asked him to speak, Paul answered, Forasmuch as I know you've been a judge for a long time, I'm glad I'm here to defend you:","Then when the ruler had given him a sign to make his answer, Paul said, Because I have knowledge that you have been a judge over this nation for a number of years, I am glad to make my answer:
"
194,"seeing that thou canst take knowledge that it is not more than twelve days since I went up to worship at Jerusalem: 
","I went to Jerusalem for 12 days, and I didn't know it was more than 12 days since I've been to Jerusalem.","Seeing that you are able to make certain of the fact that it is not more than twelve days from the time when I came up to Jerusalem for worship;
"
195,"and neither in the temple did they find me disputing with any man or stirring up a crowd, nor in the synagogues, nor in the city. 
","they didn't find me in the temple, in the synagogue, or in the city.","And they have not seen me in argument with any man in the Temple, or working up the feelings of the people, in the Synagogues or in the town:
"
196,"Neither can they prove to thee the things whereof they now accuse me. 
","they can't prove anything to you, where they're accusing me of.","And they are not able to give facts in support of the things which they say against me now.
"
197,"But this I confess unto thee, that after the Way which they call a sect, so serve I the God of our fathers, believing all things which are according to the law, and which are written in the prophets; 
","I confess to you, after the way they call a sect, I believe everything that is written in the Bible and the Prophets, and everything that is written in the Bible.","But this I will say openly to you, that I do give worship to the God of our fathers after that Way, which to them is not the true religion: but I have belief in all the things which are in the law and in the books of the prophets:
"
198,"having hope toward God, which these also themselves look for, that there shall be a resurrection both of the just and unjust. 
","they hope that God will be pleased with them, and they look for the resurrection of the just and unjust.","Hoping in God for that which they themselves are looking for, that there will be a coming back from the dead for upright men and wrongdoers.
"
199,"Herein I also exercise myself to have a conscience void of offence toward God and men always. 
",I'm also exercising my conscience to be free of any offense to God and man.,"And in this, I do my best at all times to have no reason for shame before God or men.
"
200,"Now after some years I came to bring alms to my nation, and offerings: 
","I've been a nation's benefactor for a long time, and I've offered my nation's gifts:","Now after a number of years I came to give help and offerings to my nation:
"
201,"amidst which they found me purified in the temple, with no crowd, nor yet with tumult: but there were certain Jews from Asia—
",but there were certain Jews from Asia -,"And having been made clean, I was in the Temple, but not with a great number of people, and not with noise: but there were certain Jews from Asia,
"
202,"who ought to have been here before thee, and to make accusation, if they had aught against me. 
","if they have anything against me, they should have accused me before you.","And it would have been better if they had come here to make a statement, if they have anything against me.
"
203,"Or else let these men themselves say what wrong-doing they found when I stood before the council, 
","if they want to tell me what they found, they can tell me what they found.","Or let these men here present say what wrongdoing was seen in me when I was before the Sanhedrin,
"
204,"except it be for this one voice, that I cried standing among them, Touching the resurrection of the dead I am called in question before you this day.
","I'm being questioned this day by the one who calls me before you, Touching the resurrection of the dead.","But only this one thing which I said among them in a loud voice, I am this day being judged on the question of the coming back from the dead.
"
205,"But Felix, having more exact knowledge concerning the Way, deferred them, saying, When Lysias the chief captain shall come down, I will determine your matter. 
","when Lysias the chief captain arrives, I'll decide what you want, Felix.","But Felix, who had a more detailed knowledge of the Way, put them off, saying, When Lysias, the chief captain, comes down, I will give attention to your business.
"
206,"And he gave order to the centurion that he should be kept in charge, and should have indulgence; and not to forbid any of his friends to minister unto him.
","he ordered the centurion to be taken care of himself, and he should not be allowed to be served by any of his friends.","And he gave orders to the captain to keep Paul under his control, and to let him have everything he had need of; and not to keep his friends from coming to see him.
"
207,"But after certain days, Felix came with Drusilla, his wife, who was a Jewess, and sent for Paul, and heard him concerning the faith in Christ Jesus. 
","Felix and Drusilla came to Paul, and he heard the faith of Jesus Christ for the first time.","But after some days, Felix came with Drusilla his wife, who was of the Jews by birth, and sent for Paul, and gave hearing to him about faith in Christ Jesus.
"
208,"And as he reasoned of righteousness, and self-control, and the judgment to come, Felix was terrified, and answered, Go thy way for this time; and when I have a convenient season, I will call thee unto me. 
","when he thought of righteousness, self-control, and the judgment to come, Felix was terrified, and answered, Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go","And while he was talking about righteousness and self-control and the judging which was to come, Felix had great fear and said, Go away for the present, and when the right time comes I will send for you.
"
209,"He hoped withal that money would be given him of Paul: wherefore also he sent for him the oftener, and communed with him. 
","he hoped Paul would give him money, and he would also communicate with him.","For he was hoping that Paul would give him money: so he sent for him more frequently and had talk with him.
"
210,"But when two years were fulfilled, Felix was succeeded by Porcius Festus; and desiring to gain favor with the Jews, Felix left Paul in bonds.","when Felix was released from Paul's bonds, he sought to gain favor with the Jews, and Felix left Paul in bonds.","But after two years Porcius Festus took the place of Felix, who, desiring to have the approval of the Jews, kept Paul in chains.
"
211,"Then Job answered and said,
","""I'm sorry, but I'm afraid I don't have any more."" Said Job.","Then Job made answer and said,
"
212,"How hast thou helped him that is without power! How hast thou saved the arm that hath no strength!
",how did you save his arm that he doesn't have any strength?,"How have you given help to him who has no power! how have you been the salvation of the arm which has no strength!
"
213,"How hast thou counselled him that hath no wisdom, And plentifully declared sound knowledge!
","you advised him to be quiet, and he said he had no wisdom, and he was very clear about it!","How have you given teaching to him who has no wisdom, and fully made clear true knowledge!
"
214,"To whom hast thou uttered words? And whose spirit came forth from thee?
",who spoke to you? And who's the spirit of yours?,"To whom have your words been said? and whose spirit came out from you?
"
215,"They that are deceased tremble Beneath the waters and the inhabitants thereof.
",the inhabitants of the water tremble beneath the water and the inhabitants of the land.,"The shades in the underworld are shaking; the waters and those living in them.
"
216,"Sheol is naked before God, And Abaddon hath no covering.
","Abaddon is naked before God, and Abaddon's not covered.","The underworld is uncovered before him, and Destruction has no veil.
"
217,"He stretcheth out the north over empty space, And hangeth the earth upon nothing.
","he pulls the north over the empty space, and he hangs the earth on nothing.","By his hand the north is stretched out in space, and the earth is hanging on nothing.
"
218,"He bindeth up the waters in his thick clouds; And the cloud is not rent under them.
","the clouds are thick, and the clouds are not broken by them.","By him the waters are shut up in his thick clouds, and the cloud does not give way under them.
"
219,"He incloseth the face of his throne, And spreadeth his cloud upon it.
","he spread his throne, and the cloud was spread over him.","By him the face of his high seat is veiled, and his cloud stretched out over it.
"
220,"He hath described a boundary upon the face of the waters, Unto the confines of light and darkness.
","he described the boundary between the light and the darkness, Unto the limits of light and darkness.","By him a circle is marked out on the face of the waters, to the limits of the light and the dark.
"
221,"The pillars of heaven tremble And are astonished at his rebuke.
",the heavens tremble and tremble with astonishment at his rebuke.,"The pillars of heaven are shaking, and are overcome by his sharp words.
"
222,"He stirreth up the sea with his power, And by his understanding he smiteth through Rahab.
","he stirs the sea with his power, and Rahab is smitten.","By his power the sea was made quiet; and by his wisdom Rahab was wounded.
"
223,"By his Spirit the heavens are garnished; His hand hath pierced the swift serpent.
","the sky is full of the sky, the sky is full of the sky, the sky is full of the sky.","By his wind the heavens become bright: by his hand the quickly moving snake was cut through.
"
224,"Lo, these are but the outskirts of his ways: And how small a whisper do we hear of him! But the thunder of his power who can understand?",but how small a whisper can we hear of him?,"See, these are only the outskirts of his ways; and how small is that which comes to our ears about him! But the thunder of his acts of power is outside all knowledge.
"
225,"He that is wounded in the stones, or hath his privy member cut off, shall not enter into the assembly of Jehovah.
","he must not enter the assembly of Jehovah, or he will cut his privy member.","No man whose private parts have been wounded or cut off may come into the meeting of the Lord's people.
"
226,"A bastard shall not enter into the assembly of Jehovah; even to the tenth generation shall none of his enter into the assembly of Jehovah.
","son of a bitch, no one enters the assembly of Jehovah's tenth generation.","One whose father and mother are not married may not come into the meeting of the Lord's people, or any of his family to the tenth generation.
"
227,"An Ammonite or a Moabite shall not enter into the assembly of Jehovah; even to the tenth generation shall none belonging to them enter into the assembly of Jehovah for ever: 
","no one shall enter the assembly of Jehovah for ever, even to the tenth generation, no one will ever be able to enter the assembly of Jehovah:","No Ammonite or Moabite or any of their people to the tenth generation may come into the meeting of the Lord's people:
"
228,"because they met you not with bread and with water in the way, when ye came forth out of Egypt, and because they hired against thee Balaam the son of Beor from Pethor of Mesopotamia, to curse thee. 
","when you came out of Egypt, they hired Balaam the son of Beor from Pethor of Mesopotamia, who cursed you with the water and bread.","Because they gave you no bread or water on your way, when you came out of Egypt: and they got Balaam, the son of Peor, from Pethor in Aram-naharaim to put curses on you.
"
229,"Nevertheless Jehovah thy God would not hearken unto Balaam; but Jehovah thy God turned the curse into a blessing unto thee, because Jehovah thy God loved thee. 
","Jehovah your God did not like Balaam, but Jehovah your God gave you a blessing.","But the Lord your God would not give ear to Balaam, but let the curse be changed into a blessing to you, because of his love for you.
"
230,"Thou shalt not seek their peace nor their prosperity all thy days for ever.
",you won't be looking for peace or prosperity all your life.,"Do nothing for their peace or well-being for ever.
"
231,"Thou shalt not abhor an Edomite; for he is thy brother: thou shalt not abhor an Egyptian; because thou wast a sojourner in his land. 
","you don't have to hate an Edomite, for he's your brother.","But have no hate for an Edomite, because he is your brother, or for an Egyptian, for you were living in his land.
"
232,"The children of the third generation that are born unto them shall enter into the assembly of Jehovah.
",the children of the third generation will enter the assembly of the Lord.,"Their children in the third generation may come into the meeting of the Lord's people.
"
233,"When thou goest forth in camp against thine enemies, then thou shalt keep thee from every evil thing. 
","then you'll keep your enemies out of your camp, and you'll be safe.","When you go out to war and put your tents in position, keep from every evil thing.
"
234,"If there be among you any man, that is not clean by reason of that which chanceth him by night, then shall he go abroad out of the camp, he shall not come within the camp: 
","if there's a man among you, he won't be clean by night, so he's not going to the camp.","If any man among you becomes unclean through anything which has taken place in the night, he is to go out from the tent-circle and keep outside it:
"
235,"but it shall be, when evening cometh on, he shall bathe himself in water; and when the sun is down, he shall come within the camp. 
","when the sun goes down, he will go to the camp, and when the sun goes down, he will be in the water.","But when evening comes near, let him take a bath: and after sundown he may come back to the tents.
"
236,"Thou shalt have a place also without the camp, whither thou shalt go forth abroad: 
","you'll have a place to go, where you're going to go abroad:","Let there be a place outside the tent-circle to which you may go;
"
237,"and thou shalt have a paddle among thy weapons; and it shall be, when thou sittest down abroad, thou shalt dig therewith, and shalt turn back and cover that which cometh from thee: 
","when you sit down, you'll dig in, and you'll dig in, and you'll dig in, and you'll dig in, and you'll dig in, and you'll dig in, and you'll dig in, and you'll dig in, and you'll dig in, and you'll dig in, and you'll dig in, and you'll dig in, and you'll dig in, and you'll dig in, and you'll dig in, and you'll dig","And have among your arms a spade; and when you have been to that place, let that which comes from you be covered up with earth:
"
238,"for Jehovah thy God walketh in the midst of thy camp, to deliver thee, and to give up thine enemies before thee; therefore shall thy camp be holy, that he may not see an unclean thing in thee, and turn away from thee.
","your camp shall be holy, that he may not see unclean things in you, and he will not be able to turn away from your camp.","For the Lord your God is walking among your tents, to keep you safe and to give up into your hands those who are fighting against you; then let your tents be holy, so that he may see no unclean thing among you, and be turned away from you.
"
239,"Thou shalt not deliver unto his master a servant that is escaped from his master unto thee: 
",you don't give your master a servant who's escaped from his master.,"Do not give back to his master a servant who has gone in flight from his master and come to you:
"
240,"he shall dwell with thee, in the midst of thee, in the place which he shall choose within one of thy gates, where it pleaseth him best: thou shalt not oppress him.
","you will not oppress him, but he will be happy to be with you, in the place where he chooses to go to, where he likes best: Thou shalt not oppress him.","Let him go on living among you in whatever place is most pleasing to him: do not be hard on him.
"
241,"There shall be no prostitute of the daughters of Israel, neither shall there be a sodomite of the sons of Israel. 
","there will be no prostitute of the daughters of Israel, not even a sodomite.","No daughter of Israel is to let herself be used as a loose woman for a strange god, and no son of Israel is to give himself to a man.
"
242,"Thou shalt not bring the hire of a harlot, or the wages of a dog, into the house of Jehovah thy God for any vow: for even both these are an abomination unto Jehovah thy God.
","for even the vow of a whore, a dog, or a dog's wages are not allowed to be taken into the house of God by God's name.","Do not take into the house of the Lord your God, as an offering for an oath, the price of a loose woman or the money given to one used for sex purposes in the worship of the gods: for these two things are disgusting to the Lord your God.
"
243,"Thou shalt not lend upon interest to thy brother; interest of money, interest of victuals, interest of anything that is lent upon interest. 
","you don't lend money to your brother, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest, interest","Do not take interest from an Israelite on anything, money or food or any other goods, which you let him have:
"
244,"Unto a foreigner thou mayest lend upon interest; but unto thy brother thou shalt not lend upon interest, that Jehovah thy God may bless thee in all that thou puttest thy hand unto, in the land whither thou goest in to possess it.
","you can lend to a stranger, but you can't lend to your brother, that God bless you in the land where you're going to be.","From men of other nations you may take interest, but not from an Israelite: so that the blessing of the Lord your God may be on everything to which you put your hand, in the land which you are about to take as your heritage.
"
245,"When thou shalt vow a vow unto Jehovah thy God, thou shalt not be slack to pay it: for Jehovah thy God will surely require it of thee; and it would be sin in thee. 
","you will not be able to pay your promise to God, for God's sake will demand it of you.","When you take an oath to the Lord, do not be slow to give effect to it: for without doubt the Lord your God will make you responsible, and will put it to your account as sin.
"
246,"But if thou shalt forbear to vow, it shall be no sin in thee. 
","if you don't promise, it's not a sin.","But if you take no oath, there will be no sin.
"
247,"That which is gone out of thy lips thou shalt observe and do; according as thou hast vowed unto Jehovah thy God, a freewill-offering, which thou hast promised with thy mouth.
","as you promised your God, you will observe and do what you promised to do with your mouth.","Whatever your lips have said, see that you do it; for you gave your word freely to the Lord your God.
"
248,"When thou comest into thy neighbor's vineyard, then thou mayest eat of grapes thy fill at thine own pleasure; but thou shalt not put any in thy vessel. 
","when you come to your neighbour's vineyard, you can eat grapes at your own pleasure, but you won't be able to take any of them.","When you go into your neighbour's vine-garden, you may take of his grapes at your pleasure, but you may not take them away in your vessel.
"
249,"When thou comest into thy neighbor's standing grain, then thou mayest pluck the ears with thy hand; but thou shalt not move a sickle unto thy neighbor's standing grain.","when you come to your neighbour's grain, you can pick up your hand, but you won't be able to move a sickle to your neighbour's grain.","When you go into your neighbour's field, you may take the heads of grain with your hand; but you may not put your blade to his grain.
"
250,"And it came to pass, when Jabin king of Hazor heard thereof, that he sent to Jobab king of Madon, and to the king of Shimron, and to the king of Achshaph, 
","when Jabin king of Hazor heard of it, he sent to the king of Shimron, and to the king of Shimon, and to the king of Shimon, and to the king of Shimon.","Now Jabin, king of Hazor, hearing of these things, sent to Jobab, king of Madon, and to the king of Shimron, and to the king of Achshaph,
"
251,"and to the kings that were on the north, in the hill-country, and in the Arabah south of Chinneroth, and in the lowland, and in the heights of Dor on the west, 
","in the mountains of the north, in the hills of the north, in the mountains of the north, in the mountains of the north, in the mountains of the north, in the mountains of the north, in the mountains of the north, in the mountains of the north, in the mountains of the north, in the mountains of the north, in the mountains of the north, in the mountains of the north, in the mountains of the north, in the mountains of the north,","And to the kings on the north in the hill-country, and in the Arabah south of Chinneroth, and in the lowland, and in the highlands of Dor on the west,
"
252,"to the Canaanite on the east and on the west, and the Amorite, and the Hittite, and the Perizzite, and the Jebusite in the hill-country, and the Hivite under Hermon in the land of Mizpah. 
","the Amorite, the Hittite, the Perizzite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebus","And to the Canaanites on the east and on the west, and to the Amorites and the Hittites and the Perizzites, and the Jebusites in the hill-country, and the Hivites under Hermon in the land of Mizpah.
"
253,"And they went out, they and all their hosts with them, much people, even as the sand that is upon the sea-shore in multitude, with horses and chariots very many. 
","they came, they and all their hosts, and the sand was everywhere, with horses and chariots, and the people were everywhere.","And they went out, they and all their armies with them, a great people, in number like the sand on the seaside, with horses and war-carriages in great number.
"
254,"And all these kings met together; and they came and encamped together at the waters of Merom, to fight with Israel.
","all the kings met, and they came to the water, and they fought with Israel.","And all these kings came together, and put their forces in position at the waters of Merom, to make war on Israel.
"
255,"And Jehovah said unto Joshua, Be not afraid because of them; for to-morrow at this time will I deliver them up all slain before Israel: thou shalt hock their horses, and burn their chariots with fire. 
","Joshua said, Be not afraid, for I'll take them all to Israel tomorrow.","And the Lord said to Joshua, Have no fear of them: for tomorrow at this time I will give them all up dead before Israel; you are to have the leg-muscles of their horses cut and their war-carriages burned with fire.
"
256,"So Joshua came, and all the people of war with him, against them by the waters of Merom suddenly, and fell upon them. 
","all the people of the war, against them by the water, suddenly turned against them, and they fell.","So Joshua and all the men of war with him came against them suddenly at the waters of Merom, and made an attack on them.
"
257,"And Jehovah delivered them into the hand of Israel, and they smote them, and chased them unto great Sidon, and unto Misrephoth-maim, and unto the valley of Mizpeh eastward; and they smote them, until they left them none remaining. 
","they were taken to the hand of Israel, and they were driven to the great Sidon, and to the mountains of Misrephoth-maim, and to the valley of Mizpeh.","And the Lord gave them up into the hands of Israel, and they overcame them driving them back to great Zidon and to Misrephoth-maim and into the valley of Mizpeh to the east; and they put them all to death, no man got away safely.
"
258,"And Joshua did unto them as Jehovah bade him: he hocked their horses, and burnt their chariots with fire.
",Joshua threw his horse and burned his chariot with fire.,"And Joshua did to them as the Lord had said to him; he had the leg-muscles of their horses cut and their war-carriages burned with fire.
"
259,"And Joshua turned back at that time, and took Hazor, and smote the king thereof with the sword: for Hazor beforetime was the head of all those kingdoms. 
","Joshua turned, and Hazor turned, and the king of the kingdom was struck by the sword.","At that time, Joshua went on to take Hazor and put its king to the sword: for in earlier times Hazor was the chief of all those kingdoms.
"
260,"And they smote all the souls that were therein with the edge of the sword, utterly destroying them; there was none left that breathed: and he burnt Hazor with fire. 
","he struck all the souls that were in the sword, and utterly destroyed them; there was none left to breathe.","And they put every person in it to death without mercy, giving every living thing up to the curse, and burning Hazor.
"
261,"And all the cities of those kings, and all the kings of them, did Joshua take, and he smote them with the edge of the sword, and utterly destroyed them; as Moses the servant of Jehovah commanded. 
","Joshua took all the cities of the kings, and all the kings of them, and utterly destroyed them, as Moses commanded.","And all the towns of these kings, and all the kings, Joshua took, and put them to the sword: he gave them up to the curse, as Moses, the servant of the Lord, had said.
"
262,"But as for the cities that stood on their mounds, Israel burned none of them, save Hazor only; that did Joshua burn. 
","as for the cities that stood on the mound, Joshua burned none of them, except Hazor.","As for the towns made on hills of earth, not one was burned by Israel but Hazor, which was burned by Joshua.
"
263,"And all the spoil of these cities, and the cattle, the children of Israel took for a prey unto themselves; but every man they smote with the edge of the sword, until they had destroyed them, neither left they any that breathed. 
","they took the city, the cattle, the children of Israel, and they were prey to themselves, but they were all killed by the sword.","And all the goods taken from these towns, and their cattle, the children of Israel kept for themselves; but every man they put to death without mercy, till their destruction was complete, and there was no one living.
"
264,"As Jehovah commanded Moses his servant, so did Moses command Joshua: and so did Joshua; he left nothing undone of all that Jehovah commanded Moses.
","so did Moses command Joshua, and Joshua did not leave anything undone to the Lord.","As the Lord had given orders to Moses his servant, so Moses gave orders to Joshua, and so Joshua did; every order which the Lord had given to Moses was done.
"
265,"So Joshua took all that land, the hill-country, and all the South, and all the land of Goshen, and the lowland, and the Arabah, and the hill-country of Israel, and the lowland of the same; 
","all the land, the hills, the plains, the mountains, the desert, the desert, the mountains, the hills, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the mountains, the","So Joshua took all that land, the hill-country and all the South, and all the land of Goshen, and the lowland and the Arabah, the hill-country of Israel and its lowland;
"
266,"from mount Halak, that goeth up to Seir, even unto Baal-gad in the valley of Lebanon under mount Hermon: and all their kings he took, and smote them, and put them to death. 
","he took all the kings, and they were killed, and he killed them all, and he killed them all, and he killed them.","From Mount Halak, which goes up to Seir, as far as Baal-gad in the valley of Lebanon under Mount Hermon: and all their kings he overcame and put to death.
"
267,"Joshua made war a long time with all those kings. 
",all those kings have fought for a long time.,"For a long time Joshua made war on all those kings.
"
268,"There was not a city that made peace with the children of Israel, save the Hivites the inhabitants of Gibeon: they took all in battle. 
","the city of Jerusalem, which was not a city of peace with the children of Israel, but the Gibeonites: they fought all over the city.","Not one town made peace with the children of Israel, but only the Hivites of Gibeon: they took them all in war.
"
269,"For it was of Jehovah to harden their hearts, to come against Israel in battle, that he might utterly destroy them, that they might have no favor, but that he might destroy them, as Jehovah commanded Moses.
","that he might destroy them, as God commanded Moses, that he might destroy them, that he might destroy them, as God commanded Moses.","For the Lord made them strong in heart to go to war against Israel, so that he might give them up to the curse without mercy, and that destruction might come on them, as the Lord had given orders to Moses.
"
270,"And Joshua came at that time, and cut off the Anakim from the hill-country, from Hebron, from Debir, from Anab, and from all the hill-country of Judah, and from all the hill-country of Israel: Joshua utterly destroyed them with their cities. 
","from the hill country of Judah, from the hill country of Anab, from the hill country of Debir, from the hill country of Anab, from the hill-country of Judah, from the hill-country of Judah.","And Joshua came at that time and put an end to the Anakim in the hill-country, in Hebron, in Debir, in Anab, and in all the hill-country of Judah and Israel: Joshua gave them and their towns to the curse.
"
271,"There was none of the Anakim left in the land of the children of Israel: only in Gaza, in Gath, and in Ashdod, did some remain. 
","only in Gaza, in Gath, and in Ashdod, did some remain.","Not one of the Anakim was to be seen in the land of the children of Israel: only in Gaza, in Gath, and in Ashdod, some were still living.
"
272,"So Joshua took the whole land, according to all that Jehovah spake unto Moses; and Joshua gave it for an inheritance unto Israel according to their divisions by their tribes. And the land had rest from war.","Joshua took the whole country, according to the words of Moses, and Joshua gave it to Israel according to the division of the tribe.","So Joshua took all the land, as the Lord had said to Moses; and Joshua gave it to the children of Israel as their heritage, making division of it among them by their tribes. And the land had rest from war.
"
273,"And Jehovah spake unto Moses, saying, 
","""I have spoken to Moses, and I have spoken to Moses.""","And the Lord said to Moses,
"
274,"If any one sin, and commit a trespass against Jehovah, and deal falsely with his neighbor in a matter of deposit, or of bargain, or of robbery, or have oppressed his neighbor, 
","any sin, and he will commit a sin against God, and he will be guilty of a sin against his neighbour, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a robbery, or a","If anyone does wrong, and is untrue to the Lord, acting falsely to his neighbour in connection with something put in his care, or something given for a debt, or has taken away anything by force, or has been cruel to his neighbour,
"
275,"or have found that which was lost, and deal falsely therein, and swear to a lie; in any of all these things that a man doeth, sinning therein; 
","in all these things that a man does, sinning in them, they swear to lie; in all of them, they swear to lie; in all of them, they swear to lie; in all of them, they swear to lie; in all of them, they swear to lie; in all of them, they swear to lie; in all of them, they swear to lie; in all of them, they swear to lie; in all of them, they swear to lie","Or has taken a false oath about the loss of something which he has come across by chance; if a man has done any of these evil things,
"
276,"then it shall be, if he hath sinned, and is guilty, that he shall restore that which he took by robbery, or the thing which he hath gotten by oppression, or the deposit which was committed to him, or the lost thing which he found, 
","if he has committed a robbery, or the thing he stole, or the thing he stole, or the thing he stole, or the thing he stole, or the thing he stole, or the thing he stole, or the thing he stole, or the thing he stole, or the thing he stole, or the thing he stole, or the thing he stole, or the thing he stole, or the thing he stole, or the thing he stole, or the thing he stole, or","Causing sin to come on him, then he will have to give back the thing he took by force or got by cruel acts, or the goods which were put in his care or the thing he came on by chance,
"
277,"or any thing about which he hath sworn falsely; he shall even restore it in full, and shall add the fifth part more thereto: unto him to whom it appertaineth shall he give it, in the day of his being found guilty. 
","he shall give him to him, in the day of his discovery, in full, and he shall add the fifth part of the sum: to him who has sworn to it.","Or anything about which he took a false oath; he will have to give it all back, with the addition of a fifth of its value, to him whose property it is, when he has been judged to be in the wrong.
"
278,"And he shall bring his trespass-offering unto Jehovah, a ram without blemish out of the flock, according to thy estimation, for a trespass-offering, unto the priest: 
","according to your estimate, he will bring the ram to the priest, a ram without blemish, according to the priest's estimation.","Then let him take to the Lord the offering for his wrongdoing; giving to the priest for his offering, a male sheep from the flock, without any mark, of the value fixed by you:
"
279,"and the priest shall make atonement for him before Jehovah; and he shall be forgiven concerning whatsoever he doeth so as to be guilty thereby.
","the priest shall apologize before Jehovah for what he has done, and he will be forgiven.","And the priest will take away his sin from before the Lord, and he will have forgiveness for whatever crime he has done
"
280,"And Jehovah spake unto Moses, saying, 
","""I have spoken to Moses, and I have spoken to Moses.""","And the Lord said to Moses,
"
