,YLT_Original,YLT_Paraphrased,DRA_Original
239,"`Thou dost not shut up a servant unto his lord, who is delivered unto thee from his lord;
","you don't shut up a servant to your lord, who's going to be delivered to you by your lord.","Thou shalt not deliver to his master the servant that is fled to thee.
"
240,"with thee he doth dwell, in thy midst, in the place which he chooseth within one of thy gates, where it is pleasing to him; thou dost not oppress him.
","he's not going to be in your midst, in the place where he chooses to go to, where he likes you.","He shall dwell with thee ill the place that shall please him, and shall rest, in one of thy cities: give him no trouble.
"
241,"`There is not a whore among the daughters of Israel, nor is there a whoremonger among the sons of Israel;
","there's no whore in Israel, nor is there a whore in Israel.","There shall be no whore among the daughters of Israel, nor whoremonger among the sons of Israel.
"
242,"thou dost not bring a gift of a whore, or a price of a dog, into the house of Jehovah thy God, for any vow; for the abomination of Jehovah thy God  even both of them.
","for the abomination of Jehovah thy God, both of them, you don't bring a gift of a whore, or a dog, for any promise.","Thou shalt not offer the hire of a strumpet, nor the price of a dog, in the house of the Lord thy God, whatsoever it be that thou hast vowed: because both these are an abomination to the Lord thy God.
"
243,"`Thou dost not lend in usury to thy brother; usury of money, usury of food, usury of anything which is lent on usury.
","you don't lend usury to your brother, usury of money, usury of food, usury of everything that's given to usury.","Thou shalt not lend to thy brother money to usury, nor corn, nor any other thing:
"
244,"To a stranger thou mayest lend in usury, and to thy brother thou dost not lend in usury, so that Jehovah thy God doth bless thee in every putting forth of thy hand on the land whither thou goest in to possess it.
","you can lend usury to strangers, but you don't lend usury to your brother, so that God blesses you in every step of your journey.","But to the stranger. To thy brother thou shalt lend that which he wanteth, without usury: that the Lord thy God may bless thee in all thy works in the land, which thou shalt go in to possess.
"
245,"`When thou vowest a vow to Jehovah thy God, thou dost not delay to complete it; for Jehovah thy God doth certainly require it from thee, and it hath been in thee -- sin.
","you don't have to wait till you make a promise to God, for God's sake, you have to complete it, for God's sake.","When thou hast made a vow to the Lord thy God, thou shalt not delay to pay it: because the Lord thy God will require it. And if thou delay, it shall be imputed to thee for a sin.
"
246,"`And when thou forbearest to vow, it is not in thee a sin.
","it's not a sin to promise, but it's not a sin to promise.","If thou wilt not promise, thou shalt be without sin.
"
247,"The produce of thy lips thou dost keep, and hast done , as thou hast vowed to Jehovah thy God; a free-will-offering, which thou hast spoken with thy mouth.
","you keep your lips, and you have done it, as you promised your God.","But that which is once gone out of thy lips, thou shalt observe, and shalt do as thou hast promised to the Lord thy God, and hast spoken with thy own will and with thy own mouth.
"
248,"`When thou comest in unto the vineyard of thy neighbour, then thou hast eaten grapes, according to thy desire, thy sufficiency; but into thy vessel thou dost not put .
","when you come to your neighbour's vineyard, you eat grapes, according to your desire, your supply; but you don't put them in your ship.","Going into thy neighbour's vineyard, thou mayst eat as many grapes as thou pleasest: but must carry none out with thee:
"
249,"When thou comest in among the standing-corn of thy neighbour, then thou hast plucked the ears with thy hand, but a sickle thou dost not wave over the standing-corn of thy neighbour.","then you're going to grab your ears with your hand, but you don't wave your hand over the standing corn of your neighbour.","If thou go into thy friend's corn, thou mayst break the ears, and rub them in thy hand: but not reap them with a sickle."
250,"And it cometh to pass when Jabin king of Hazor heareth, that he sendeth unto Jobab king of Madon, and unto the king of Shimron, and unto the king of Achshaph,
","when Jabin king of Hazor hears, he will send to the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the","And when Jabin king of Asor had heard these things, he sent to Jobab king of Madon, and to the king of Semeron, and to the king of Achsaph:
"
251,"and unto the kings who  on the north in the hill-country, and in the plain south of Chinneroth, and in the low country, and in the elevations of Dor, on the west,
","in the mountains of the north, in the mountains of the south, in the plains of the south, in the mountains of the north, in the mountains of the south, in the mountains of the south, in the mountains of the south, in the mountains of the south, in the mountains of the south, in the mountains of the south, in the mountains of the south, in the mountains of the south, in the mountains of the south, in the mountains of the south,","And to the kings of the north, that dwelt in the mountains and in the plains over against the south side of Ceneroth, and in the levels and the countries of Dor by the sea side:
"
252,"the Canaanite on the east, and on the west, and the Amorite, and the Hittite, and the Perizzite, and the Jebusite in the hill-country, and the Hivite under Hermon, in the land of Mizpeh --
","the Amorite, the Hittite, the Perizzite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebusite, the Jebus","To the Chanaanites also on the ease and on the west, and the Amorrhite, and the Hethite, and the Pherezite, and the Jebusite in the mountains: to the Hevite also who dwelt at the foot of Hermon in the land of Maspha.
"
253,"and they go out, they and all their camps with them, a people numerous, as the sand which  on the sea-shore for multitude, and horse and charioteer very many;
","they go out, they're all over the place, and they're all over the place, and they're all over the place, and they're all over the place, and they're all over the place, and they're all over the place, and they're all over the place, and they're all over the place, and they're all over the place, and they're all over the place, and they're all over the place, and they're all over the place","And they all came out with their troops, a people exceeding numerous as the sand that is on the sea shore, their horses also and chariots a very great multitude,
"
254,"and all these kings are met together, and they come and encamp together at the waters of Merom, to fight with Israel.
","they meet all the kings, and they come to the water, and they fight with Israel.","And all these kings assembled together at the waters of Merom, to fight against Israel.
"
255,"And Jehovah saith unto Joshua, `Be not afraid of their presence, for to-morrow about this time I am giving all of them wounded before Israel; their horses thou dost hough, and their chariots burn with fire.'
","""don't worry, for I'll be there tomorrow, and I'll be there with them all, and their horses and their chariots will burn with fire.""","And the Lord said to Josue: Fear them not: for to morrow at this same hour I will deliver all these to be slain in the sight of Israel: thou shalt hamstring their horses, and thou shalt burn their chariots with fire.
"
256,"And Joshua cometh, and all the people of war with him, against them by the waters of Merom suddenly, and they fall on them;
","Joshua's coming, and all the people of the war will be against him, and they will fall on him;","And Josue came, and all the army with him, against them to the waters of Merom on a sudden, and fell upon them.
"
257,"and Jehovah giveth them into the hand of Israel, and they smite them and pursue them unto the great Zidon, and unto Misrephoth-Maim, and unto the valley of Mizpeh eastward, and they smite them, till he hath not left to them a remnant;
","they are taken to the great Zidon, and they are pursued by the great Zidon, and they are pursued by Misrephoth-Maim, and the valley of Mizpeh east.","And the Lord delivered them into the hands of Israel. And they defeated them, and chased them as far as the great Sidon, and the waters of Maserophot, and the field of Masphe, which is on the east side thereof. He slew them all, so as to leave no remains of them:
"
258,"and Joshua doth to them as Jehovah said to him; their horses he hath houghed, and their chariots burnt with fire.
",Joshua doth to them as Jehovah said to him; his horses and his chariots are burned with fire.,"And he did as the Lord had commanded him, he hamstringed their horses and burned their chariots.
"
259,"And Joshua turneth back at that time, and captureth Hazor, and its king he hath smitten by the sword; for Hazor formerly  head of all these kingdoms;
","Joshua turned and took Hazor, and the king of Hazor was struck by the sword; for Hazor was once the head of all the kingdoms;","And presently turning back he took Asor: and slew the king thereof with the sword. Now Asor of old was the head of all these kingdoms.
"
260,"and they smite every person who  in it by the mouth of the sword; he hath devoted -- he hath not left any one breathing, and Hazor he hath burnt with fire;
","he smote every man who was in it with the sword, and he burned with fire; he did not leave anyone alive, and Hazor burned with fire.","And he cut off all the souls that abode there: he left not in it any remains, but utterly destroyed all, and burned the city itself with fire.
"
261,"and all the cities of these kings, and all their kings, hath Joshua captured, and he smiteth them by the mouth of the sword; he devoted them, as Moses, servant of Jehovah, commanded.
","Joshua captured all the cities of the kings, and all the kings of the kingdom, and he smote them with the sword.","And he took and put to the sword and destroyed all the cities round about, and their kings, as Moses the servant of God had commanded him.
"
262,"Only, all the cities which are standing by their hill, Israel hath not burned them, save Hazor only,  hath Joshua burnt;
","only Hazor, the only one who stood by the hill, was burned, and Joshua burned;","Except the cities that were on hills and high places, the rest Israel burned: only Asor that was very strong he consumed with fire.
"
263,"and all the spoil of these cities, and the cattle, have the sons of Israel spoiled for themselves; only, every human being they have smitten by the mouth of the sword, till their destroying them; they have not left any one breathing.
","they have destroyed the cities, the cattle, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men, the men","And the children of Israel divided among themselves all the spoil of these cities and the cattle, killing all the men.
"
264,"As Jehovah commanded Moses His servant, so did Moses command Joshua, and so hath Joshua done; he hath not turned aside a thing of all that Jehovah commanded Moses.
","Jehovah commanded Moses, and Moses did, and Joshua did not. He did not turn away from what Jehovah commanded Moses.","As the Lord had commanded Moses his servant, so did Moses command Josue, and he accomplished all: he left not one thing undone of all the commandments which the Lord had commanded Moses.
"
265,"And Joshua taketh all this land: the hill-country, and all the south, and all the land of Goshen, and the low country, and the plain, even the hill-country of Israel and its low lands,
","Joshua took all the land, the hills, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains, the plains","So Josue took all the country of the hills, and of the south, and the land of Gosen, and the plains and the west country, and the mountain of Israel, and the plains thereof:
"
266,"from the mount of Halak, which is going up  Seir, and unto Baal-Gad, in the valley of Lebanon, under mount Hermon; and all their kings he hath captured, and he smiteth them, and putteth them to death.
","he took the king of Halak, and he was taken to Baal-Gad, in the valley of Lebanon, by the king of Hermon.","And part of the mountain that goeth up to Seir as far as Baalgad, by the plain of Libanus under mount Hermon: all their kings he took, smote and slew.
"
267,"Many days hath Joshua made with all these kings war;
",Joshua has been fighting all these kings for days;,"Josue made war a long time against these kings.
"
268,"there hath not been a city which made peace with the sons of Israel save the Hivite, inhabitants of Gibeon; the whole they have taken in battle;
","the city of Jerusalem, which has not been conquered by the sons of Israel, but the Gibeonites, the inhabitants of the city;","There was hot a city that delivered itself to the children of Israel, except the Hevite, who dwelt in Gabaon: for he took all by fight.
"
269,"for from Jehovah it hath been to strengthen their heart, to meet in battle with Israel, in order to devote them, so that they have no grace, but in order to destroy them, as Jehovah commanded Moses.
","to strengthen their heart, to meet with Israel, to fight them, so that they would not be able to be forgiven, as God commanded Moses.","For it was the sentence of the Lord, that their hearts should be hardened, and they should fight against Israel, and fall, and should not deserve any clemency, and should be destroyed as the Lord had commanded Moses.
"
270,"And Joshua cometh at that time, and cutteth off the Anakim from the hill-country, from Hebron, from Debir, from Anab, even from all the hill-country of Judah, and from all the hill-country of Israel; with their cities hath Joshua devoted them.
","from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the hill, from the","At that time Josue came and cut off the Enacims from the mountains, from Hebron, and Dabir, and Anab, and from all the mountain of Juda and Israel, and destroyed their cities.
"
271,"There hath not been left Anakim in the land of the sons of Israel; only in Gaza, in Gath, and in Ashdod, were they left.
","they were not left in the land of the sons of Israel, only in Gaza, in Gath, and in Ashdod.","He left not any of the stock of the Enacims, in the land of the children of Israel: except the cities of Gaza, and Geth, and Azotus, in which alone they were left.
"
272,"And Joshua taketh the whole of the land, according to all that Jehovah hath spoken unto Moses, and Joshua giveth it for an inheritance to Israel according to their divisions, by their tribes; and the land hath rest from war.","Joshua will take the whole country, according to the words of Moses and Joshua, and Joshua will give it to Israel according to the division of the tribes.","So Josue took all the land, as the Lord spoke to Moses, and delivered it in possession to the children of Israel, according to their divisions and tribes. And the land rested from wars."
273,"And Jehovah speaketh unto Moses, saying,
","""I'm telling you, Moses, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you,","The Lord spoke to Moses, saying:
"
274,"`When any person doth sin, and hath committed a trespass against Jehovah, and hath lied to his fellow concerning a deposit, or concerning fellowship, or concerning violent robbery, or hath oppressed his fellow;
","anyone who sins, and he has committed a sin against God, and he has lied to his fellow about a deposit, or about a friend, or about a robbery, or about a violent robbery, or has oppressed his friend.","Whosoever shall sin, and despising the Lord, shall deny to his neighbour the thing delivered to his keeping, which was committed to his trust; or shall by force extort any thing, or commit oppression;
"
275,"or hath found a lost thing, and hath lied concerning it, and hath sworn to a falsehood, concerning one of all  which man doth, sinning in them:
","he found a lost thing, and lied about it, and swore to a lie, about all the things that man does, sinning in them:","Or shall find a thing lost, and denying it, shall also swear falsely, or shall do any other of the many things, wherein men are wont to sin:
"
276,"`Then it hath been, when he sinneth, and hath been guilty, that he hath returned the plunder which he hath taken violently away, or the thing which he hath got by oppression, or the deposit which hath been deposited with him, or the lost thing which he hath found;
","he returned the plunder he took violently, or the thing he took from him, or the deposit he had taken from him, or the thing he had taken from him, or the thing he had taken from him.","Being convicted of the offence, he shall restore
"
277,"or all that concerning which he sweareth falsely, he hath even repaid it in its principal, and its fifth he is adding to it; to him whose it  he giveth it in the day of his guilt-offering.
","he has even paid him in the principal, and the fifth he adds to him, who gave him in the day of his confession.","All that he would have gotten by fraud, in the principal, and the fifth part besides to the owner, whom he wronged.
"
278,"`And his guilt-offering he bringeth in to Jehovah, a ram, a perfect one, out of the flock, at thy estimation, for a guilt-offering, unto the priest,
","he brings a ram, a perfect ram, from the flock, at your estimation, for a sacrifice, to the priest, and he brings it to the priest.","Moreover for his sin he shall offer a ram without blemish out of the flock, and shall give it to the priest, according to the estimation and measure of the offence:
"
279,"and the priest hath made atonement for him before Jehovah, and it hath been forgiven him, concerning one thing of all that he doth, by being guilty therein.'
","the priest has forgiven him, and he has forgiven him for what he has done, for one thing. ""","And he shall pray for him before the Lord, and he shall have forgiveness for every thing in doing of which he hath sinned.
"
280,"And Jehovah speaketh unto Moses, saying,
","""I'm telling you, Moses, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you,","And the Lord spoke to Moses, saying:
"
281,"`Command Aaron and his sons, saying, This  a law of the burnt-offering (it  the burnt-offering, because of the burning on the altar all the night unto the morning, and the fire of the altar is burning on it,)
","the law of the burnt-out offering (it's the burnt-out offering, because the fire burns the altar all night, and the fire burns the altar.","Command Aaron and his sons: This is the law of a holocaust: It shall be burnt upon the altar, all night until morning: the fire shall be of the same altar.
"
282,"that the priest hath put on his long robe of fine linen, and his fine linen trousers he doth put on his flesh, and hath lifted up the ashes which the fire consumeth with the burnt-offering on the altar, and hath put them near the altar;
","the priest's robe is fine linen, and his fine linen trousers are on his body, and he's lifted the ashes from the altar.","The priest shall be vested with the tunick and the linen breeches, and he shall take up the ashes of that which the devouring fire hath burnt, and putting them beside the altar,
"
283,"and he hath stripped off his garments, and hath put on other garments, and hath brought out the ashes unto the outside of the camp, unto a clean place.
","he stripped off his clothes, and put on another, and took the ashes to the outside of the camp, to a clean place.","Shall put off his former vestments, and being clothed with others, shall carry them forth without the camp, and shall cause them to be consumed to dust in a very clean place,
"
284,"`And the fire on the altar is burning on it, it is not quenched, and the priest hath burned on it wood morning by morning, and hath arranged on it the burnt-offering, and hath made perfume on it  the fat of the peace-offerings;
","the priest burns the altar, and the priest burns the altar, and the priest burns the altar, and he's got a fire on him, and he's got a fire on him, and he's got a fire on him, and he's got a fire on him, and he's got a fire on him, and he's got a fire on him, and he's got a fire on him, and he's got a fire on him, and he's got a fire","And the fire on the altar shall always burn, and the priest shall feed it, putting wood on it every day in the morning, and laying on the holocaust, shall burn thereupon the fat of the peace offerings.
"
285,"fire is continually burning on the altar, it is not quenched.
","the altar is burning constantly, and it's not extinguished.","This is the perpetual fire which shall never go out on the altar.
"
286,"`And this  a law of the present: sons of Aaron have brought it near before Jehovah unto the front of the altar,
",and this is the law of the present: The sons of Aaron have been near the altar before the altar.,"This is the law of the sacrifice and libations, which the children of Aaron shall offer before the Lord, and before the altar.
"
287,"and  hath lifted up of it with his hand from the flour of the present, and from its oil, and all the frankincense which  on the present, and hath made perfume on the altar, sweet fragrance -- its memorial to Jehovah.
","the hand of the flour, the oil, the oil, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume, the perfume","The priest shall take a handful of the flour that is tempered with oil, and all the frankincense that is put upon the flour: and he shall burn it on the altar for a memorial of most sweet odour to the Lord:
"
288,"`And the remnant of it do Aaron and his sons eat;  unleavened things it is eaten, in the holy place, in the court of the tent of meeting they do eat it.
","Aaron and his sons eat it in the holy place, in the tent of the meeting, they eat it.","And the part of the flour that is left, Aaron and his sons shall eat, without leaven: and he shall eat it in the holy place of the court of the tabernacle.
"
289,"It is not baken  any thing fermented, their portion I have given it, out of My fire-offerings; it  most holy, like the sin-offering, and like the guilt-offering.
","it's not a baked thing, it's a gift, like the sin-offering, like the guilt-offering, like the offering.","And therefore it shall not be leavened, because part thereof is offered for the burnt sacrifice of the Lord. It shall be most holy, as that which is offered for sin and for trespass.
"
290,"Every male among the sons of Aaron doth eat it -- a statute age-during to your generations, out of the fire-offerings of Jehovah: all that cometh against them is holy.'
","all the sons of Aaron are eating it - a time of the fire, from the fire of the Lord: 'All that is against them is holy.'","The males only of the race of Aaron shall eat it. It shall be an ordinance everlasting in your generations concerning the sacrifices of the Lord: Every one that toucheth them shall be sanctified.
"
291,"And Jehovah speaketh unto Moses, saying,
","""I'm telling you, Moses, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you,","And the Lord spoke to Moses, saying:
"
292,"`This  an offering of Aaron and of his sons, which they bring near to Jehovah in the day of his being anointed; a tenth of the ephah of flour  a continual present, half of it in the morning, and half of it in the evening;
","it's a gift from Aaron and his sons, which they bring to the day of the Lord, a tenth of the ephah of flour, half of it in the morning, and half in the afternoon.","This is the oblation of Aaron, and of his sons, which they must offer to the Lord, in the day of their anointing: They shall offer the tenth part of an ephi of flour for a perpetual sacrifice, half of it in the morning, and half of it in the evening:
"
293,"on a girdel with oil it is made -- fried thou dost bring it in; baked pieces of the present thou dost bring near, a sweet fragrance to Jehovah.
",the girdle with oil is made - the oil is baked - the fragrance of the oil is pleasant to the God.,"It shall be tempered with oil, and shall be fried in a fryingpan.
"
294,"`And the priest who is anointed in his stead, from among his sons, doth make it, -- a statute age-during of Jehovah: it is completely perfumed;
","the priest who is anointed by his sons, he makes it, - a statute of the age of God: It's completely perfumed;","And the priest that rightfully succeedeth his father, shall offer it hot, for a most sweet odour to the Lord, and it shall be wholly burnt on the altar.
"
295,"and every present of a priest is a whole burnt-offering; it is not eaten.'
","the priest's whole body is burned, not eaten. ""","For every sacrifice of the priest shall be consumed with fire, neither shall any man eat thereof.
"
296,"And Jehovah speaketh unto Moses, saying,
","""I'm telling you, Moses, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you,","And the Lord spoke to Moses, saying:
"
297,"`Speak unto Aaron and unto his sons, saying, This  a law of the sin-offering: in the place where the burnt-offering is slaughtered is the sin-offering slaughtered before Jehovah; it  most holy.
","the place where the burnt-out offering is killed is the place where the sin is most holy, and the place where the sacrifice is most holy is the place where the sacrifice is sacrificed.","Say to Aaron and his sons: This is the law of the victim for sin: in the place where the holocaust is offered, it shall be immolated before the Lord. It is holy of holies.
"
298,"`The priest who is making atonement with it doth eat it, in the holy place it is eaten, in the court of the tent of meeting;
","the priest who makes the sacrifice is eating it in the holy place, in the tent of the meeting;","The priest that offereth it, shall eat it in a holy place, in the court of the tabernacle.
"
299,"all that cometh against its flesh is holy, and when  of its blood is sprinkled on the garment, that on which it is sprinkled thou dost wash in the holy place;
","when the blood is sprinkled on the garment, the holy place is washed with holy water;","Whatsoever shall touch the flesh thereof, shall be sanctified. If a garment be sprinkled with the blood thereof, it shall be washed in a holy place.
"
300,"and an earthen vessel in which it is boiled is broken, and if in a brass vessel it is boiled, then it is scoured and rinsed with water.
","it is broken and washed with water, and if it is a brass vessel, it is washed with water.","And the earthen vessel, wherein it was sodden, shall be broken, but if the vessel be of brass, it shall be scoured, and washed with water.
"
301,"`Every male among the priests doth eat it -- it  most holy;
","every priest eats it, it's the most holy thing in the world;","Every male of the priestly race shall eat of the flesh thereof, because it is holy of holies.
"
302,"and no sin-offering,  of whose blood is brought in unto the tent of meeting to make atonement in the sanctuary is eaten; with fire it is burnt.","it is not a sin to eat the blood of the offering, which is brought to the altar to make atonement in the sanctuary.","For the victim that is slain for sin, the blood of which is carried into the tabernacle of the testimony to make atonement in the sanctuary, shall not be eaten, but shall be burnt with fire."
303,"And the famine  severe in the land;
",the famine is severe in the country;,"In the mean time the famine was heavy upon all the land.
"
304,"and it cometh to pass, when they have finished eating the corn which they brought from Egypt, that their father saith unto them, `Turn back, buy for us a little food.'
","when they eat the corn they brought from Egypt, their father will tell them, ""Turn back, buy us a little food.""","And when they had eaten up all the corn, which they had brought out of Egypt, Jacob said to his sons: Go again and buy us a little food.
"
305,"And Judah speaketh unto him, saying, `The man protesting protested to us, saying, Ye do not see my face without your brother  with you;
","""he said, 'I don't see my face without my brother, 'he said.","Juda answered: The man declared unto us with the attestation of an oath, saying: You shall not see my face, unless you bring your youngest brother with you.
"
306,"if thou art sending our brother with us, we go down, and buy for thee food,
","we'll go down with our brother, and we'll buy you something, and we'll go.","If therefore thou wilt send him with us, we will set out together, and will buy necessaries for thee.
"
307,"and if thou art not sending -- we do not go down, for the man said unto us, Ye do not see my face without your brother  with you.'
","if you don't send -- we don't go down, 'cause the man said, 'You don't see my face with your brother.'","But if thou wilt not, we will not go: for the man, as we have often said, declared unto us, saying: You shall not see my face without your youngest brother.
"
308,"And Israel saith, `Why did ye evil to me, by declaring to the man that ye had yet a brother?'
","""why did you do it to me, when you told me you had a brother?"" Israel asked.","Israel said to them: You have done this for my misery in that you told him you had also another brother.
"
309,"and they say, `The man asked diligently concerning us, and concerning our kindred, saying, Is your father yet alive? have ye a brother? and we declare to him according to the tenor of these things; do we certainly know that he will say, Bring down your brother?'
","""he asked us, and our kindred, and our friends, and our relatives, and our relatives, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and our friends, and","But they answered: The man asked us in order concerning our kindred: if our father lived: if we had a brother: and we answered him regularly, according to what he demanded: could we know that he would say: Bring hither your brother with you?
"
310,"And Judah saith unto Israel his father, `Send the youth with me, and we arise, and go, and live, and do not die, both we, and thou, and our infants.
","""send the young man with me, and we'll go, and we'll go, and we'll live, and we won't die, and we'll be happy.","And Juda said to his father: Send the boy with me, that we may set forward, and may live: lest both we and our children perish.
"
311,"I -- I am surety  him, from my hand thou dost require him; if I have not brought him in unto thee, and set him before thee -- then I have sinned against thee all the days;
","if I hadn't taken him to you, and I'd put him in front of you, I'd be guilty of sinning against you all the time;","I take the boy upon me, require him at my hand: unless I bring him again, and restore him to thee, I will be guilty of sin against thee for ever.
"
312,"for if we had not lingered, surely now we had returned these two times.'
","if we hadn't been there, we'd have returned them again.'","If delay had not been made, we had been here again the second time.
"
313,"And Israel their father saith unto them, `If so, now, this do: take of the praised thing of the land in your vessels, and take down to the man a present, a little balm, and a little honey, spices and myrrh, nuts and almonds;
","""if so, then, take the praise of the land, and take it to the ship, and take a little bit of the honey, a little bit of the spice, a little bit of the honey, a little bit of the honey, a little bit of the honey, a little bit of the honey, a little bit of the honey, a little bit of the honey, a little bit of the honey, a little bit of the honey, a little bit of the honey","Then Israel said to them: If it must needs be so, do what you will: take of the best fruits of the land in your vessels, and carry down presents to the man, a little balm, and honey, and storax, myrrh, turpentine, and almonds.
"
314,"and double money take in your hand, even the money which is brought back in the mouth of your bags, ye take back in your hand, it may be it  an oversight.
","you can take money out of your pockets, even money that comes out of your pockets, you can take it back in your hand.","And take with you double money, and carry back what you found in your sacks, lest perhaps it was done by mistake.
"
315,"`And take your brother, and rise, turn back unto the man;
",turn your brother and turn back to the man.,"And take also your brother, and go to the man.
"
316,"and God Almighty give to you mercies before the man, so that he hath sent to you your other brother and Benjamin; and I, when I am bereaved -- I am bereaved.'
","God Almighty will give you mercy before the man, so that he will send you to your brother Benjamin.","And may my almighty God make him favourable to you; and send back with you your brother, whom he keepeth, and this Benjamin: and as for me I shall be desolate without children.
"
317,"And the men take this present, double money also they have taken in their hand, and Benjamin; and they rise, and go down to Egypt, and stand before Joseph;
","they took the money, and they took the money, and they took the money, and they took the money, and they took the money, and they took the money, and they took the money, and they took the money, and they took the money, and they took the money, and they took the money, and they took the money, and they took the money, and they took the money, and they took the money, and they took the money, and they took","So the men took the presents, and double money, and Benjamin: and went down into Egypt, and stood before Joseph.
"
318,"and Joseph seeth Benjamin with them, and saith to him who  over his house, `Bring the men into the house, and slaughter an animal, and make ready, for with me do the men eat at noon.'
","""bring the men to the house, and they'll eat with me, and they'll be ready for lunch,"" Joseph said to Benjamin.","And when he had seen them, and Benjamin with them, he commanded the steward of his house, saying: Bring in the men into the house, and kill victims, and prepare a feast: because they shall eat with me at noon.
"
319,"And the man doth as Joseph hath said, and the man bringeth in the men into the house of Joseph,
","the man who's going to Joseph's house, he's like Joseph said, and he's bringing in the men.","He did as he was commanded, and brought the men into the house.
"
320,"and the men are afraid because they have been brought into the house of Joseph, and they say, `For the matter of the money which was put back in our bags at the commencement are we brought in -- to roll himself upon us, and to throw himself on us, and to take us for servants -- our asses also.'
","""for the money we took from the bag at the beginning, we're afraid of him, and he says, 'For the money we took from the bag, we're afraid of him.","And they being much afraid, said there one to another: Because of the money, which we carried back the first time in our sacks, we are brought in: that he may bring upon us a false accusation, and by violence make slaves of us and our asses.
"
321,"And they come nigh unto the man who  over the house of Joseph, and speak unto him at the opening of the house,
","they're coming to the man who's talking to Joseph at the opening of the house, and they're close to him.","Wherefore going up to the steward of the house, at the door,
"
322,"and say, `O, my lord, we really come down at the commencement to buy food;
","""oh, my lord, we're really going to buy food at the beginning,"" he said.","They said: Sir, we desire thee to hear us: We came down once before to buy food:
"
323,"and it cometh to pass, when we have come in unto the lodging-place, and open our bags, that lo, each one's money  in the mouth of his bag, our money in its weight, and we bring it back in our hand;
","when we come to the lodge, open the bag, and we take our money, we have a lot of money in the bag, and we bring it back to the bag.","And when we had bought, and come to the inn, we opened our sacks, and found our money in the mouths of the sacks: which we have now brought again in the same weight.
"
324,"and other money have we brought down in our hand to buy food; we have not known who put our money in our bags.'
","we have not known who gave us money to buy food; we don't know who gave us the money. ""","And we have brought other money besides, to buy what we want: we cannot tell who put it in our bags.
"
325,"And he saith, `Peace to you, fear not: your God and the God of your father hath given to you hidden treasure in your bags, your money came unto me;' and he bringeth out Simeon unto them.
","""peace, be not afraid, my God and your father's treasure is hidden in your bags, your money's in my hands,"" he said.","But he answered: Peace be with you, fear not: your God, and the God of your father hath given you treasure in your sacks. For the money, which you gave me, I have for good. And he brought Simeon out to them.
"
326,"And the man bringeth in the men into Joseph's house, and giveth water, and they wash their feet; and he giveth provender for their asses,
",he brings the men to Joseph's house and gives them water and cleans them up; and he gives them a drink.,"And having brought them into the house, he fetched water, and they washed their feet, and he gave provender to their asses.
"
