,original,paraphrase,output,output_reference
248,"Help that we may escape out of this prison.
",we can escape from this prison., We can escape from this prison.,"Out of this prisoun help that we may scapen.
"
249,"And if it be so that my destiny is shaped
",if I'm destined to be what I want to be," If I am destined to be what I want to be, I shall be what I desire","And if so be my destynee be shapen
"
250,"By eternal decree to die in prison,
","death in prison is eternal, death in prison is eternal."," Death in prison is eternal, death in prison is eternal.","By eterne word to dyen in prisoun,
"
251,"Have some compassion on our (noble) lineage
","for our noble lineage, we have compassion for our (noble) lineage."," For our noble lineage, we have compassion for our (noble) lineage.","Of oure lynage have som compassioun,
"
252,"Which is brought so low by tyranny.""
","""it's so low for tyranny."""," "" It's so low for tyranny","That is so lowe ybroght by tirannye.""
"
253,"And with that word Arcite did see
","with the word Arcite, he saw the word Arcite."," With the word Arcite, he saw the word","And with that word Arcite gan espye
"
254,"Where this lady roamed to and fro,
","the lady was moving around and bouncing, bouncing, bouncing, bouncing, bouncing, bouncing,..."," The lady was moving around and bouncing, bouncing, bouncing, bouncing, bouncing, bouncing, bouncing, bouncing, bouncing, bouncing, bouncing, ","Wher as this lady romed to and fro,
"
255,"And with that sight her beauty hurt him so,
",he was hurt by her beauty., He was hurt by her beauty.,"And with that sighte hir beautee hurte hym so,
"
256,"That, if Palamon was sorely wounded,
","if Palamon was badly wounded, he would be severely wounded."," If Palamon was badly wounded, he would be severely wounded.","That, if that Palamon was wounded sore,
"
257,"Arcite is hurt as much as he, or more.
","it hurts as much as he does, or more."," It hurts as much as he does, or more.","Arcite is hurt as muche as he, or moore.
"
258,"And with a sigh he said piteously,
","""I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm..."," I'm sorry, but IâĢĻllâĻllâĻllâĢĻllâĢĻllâĢĻllâĢĻllâĢĻll","And with a sigh he seyde pitously,
"
259,"""The fresh beauty slays me suddenly
",I suddenly feel a sudden sense of beauty.," I feel a sudden sense of beauty,","""The fresshe beautee sleeth me sodeynly
"
260,"Of her who roams in the yonder place;
",the one who's roaming the country; the one who's roaming the country;, The one that's wandering the country; the one that's wandering the country;,"Of hire that rometh in the yonder place;
"
261,"And unless I have her mercy and her grace,
","if I don't have her mercy and her grace, I'm not going to be able to do it."," If I do not have her mercy and her grace, I am not to be able to do it.","And but I have hir mercy and hir grace,
"
262,"So that I can at least see her,
","I'm hoping she'll see me too, so I can see her."," I hope she will see me too, so I can see her","That I may seen hire atte leeste weye,
"
263,"I am as good as dead; there is no more to say.""
","I'm as good as dead; I don't have to tell you. """, I am as good as dead; I do not know what to say.,"I nam but deed; ther nis namoore to seye.""
"
264,"This Palamon, when he heard those words,
","when he heard the words, Palamon was surprised."," When he heard the words, Palamon was startled.","This Palamon, whan he tho wordes herde,
"
265,"Angrily he looked and answered,
","""I'm not going to be able to do it, I'm not going to be able to do it."" He said angrily. He looked..."," "" I cannot do it, I cannot do it, I cannot do it, I cannot do it, I cannot do it, I cannot do it, I cannot do it, I cannot do it, I cannot do it, I cannot do","Dispitously he looked and answerde,
"
266,"""Sayest thou this in earnest or in play?""
","""do you really mean it or are you just kidding?"""," "" Do you mean it or are you just kidding? ""","""Wheither seistow this in ernest or in pley?""
"
267,"""Nay,"" said Arcite, ""in earnest, by my faith!
","in fact, I believe it, by my faith!"," And in truth, I believe it, by my faith!","""Nay,"" quod Arcite, ""in ernest, by my fey!
"
268,"So help me God, I have no desire to play.""
","God, I'm not interested in playing. """," God, I don't play. ""","God helpe me so, me list ful yvele pleye.""
"
269,"This Palamon did knit his two brows.
",Palamon's brow furrowed with two brows., Palamon brow furrowed with two brows.,"This Palamon gan knytte his browes tweye.
"
270,"""It would not be,"" said he, ""any great honor to thee
","""you don't have any great honor,"" he said. ""I'm not sure you have any great honor."""," "" You don't have any great honor, "" he said. ""","""It nere,"" quod he, ""to thee no greet honour
"
271,"To be false, nor to be traitor
","to be a traitor, not a traitor."," To be a traitor, not a traitor.","For to be fals, ne for to be traitour
"
272,"To me, who am thy cousin and thy brother
",who's your cousin and your brother to me., WhoâĢĻs your cousin and your brother to me.,"To me, that am thy cosyn and thy brother
"
273,"Sworn very sincerely, and each of us to the other,
","I'm really sorry about this, but I'm sorry about it, too, and I'm sorry about it, too."," I'm sorry for this, but I'm sorry for it, too, and I'm sorry for it, too.","Ysworn ful depe, and ech of us til oother,
"
274,"That never, though we had to die by torture,
","but we have to die in torture, even if we die."," But we have to die in torture, even if we die.","That nevere, for to dyen in the peyne,
"
275,"Until death shall part us two,
","we will be two, and we will die together."," We shall be two, and we shall die together.","Til that the deeth departe shal us tweyne,
"
276,"Neither of us in love (is) to hinder the other,
",we don't love each other (is) to hurt the other., We don't love each other (is) to hurt the other.,"Neither of us in love to hyndre oother,
"
277,"Nor in any other case, my dear brother,
","in any case, my dear brother, in any case, my dear brother, my dear brother, my dear brother, my..."," In any case, my dear brother, in any case, my dear brother, my dear brother, my dear brother, my...","Ne in noon oother cas, my leeve brother,
"
278,"But rather thou shouldest truly help me
","you should really help me, really help me."," You should really help me, really help me.","But that thou sholdest trewely forthren me
"
279,"In every case, as I shall help thee --
",as I'm helping you -- as I help you --, As I help thee--as I help thee--as I help thee--as I help thee--,"In every cas, as I shal forthren thee --
"
280,"This was thy oath, and mine also, certainly;
","I swear to you, and I swear to you, I swear to you."," I swear to thee, and I swear to thee, I swear to thee.","This was thyn ooth, and myn also, certeyn;
"
281,"I know right well, thou darest not deny it.
","you don't have to deny it, you know."," You know not to deny it,","I woot right wel, thou darst it nat withseyn.
"
282,"Thus thou art my trusted confidant, without doubt,
","you're my trusted friend, I'm sure. I'm sure. I'm sure. I'm sure. I'm sure. I'm sure. I'm sure."," And thou art my trust, I trust. I trust","Thus artow of my conseil, out of doute,
"
283,"And now thou wouldest falsely be busy preparing
","you'd be busy preparing for false accusations, false accusations, false accusations, false..."," You'd be busy preparing for false accusations, false accusations, false...","And now thow woldest falsly been aboute
"
284,"To love my lady, whom I love and serve,
","love my lady, who likes me and I like her."," Love my lady, who loves me and I love her.","To love my lady, whom I love and serve,
"
285,"And ever shall until my heart dies.
","until my heart is dead, I'll never be able to be happy."," Until my heart be dead, I shall never be able to be happy.","And evere shal til that myn herte sterve.
"
286,"Nay, certainly, false Arcite, thou shalt not (do) so.
","of course, you don't have to, of course, false Arcite."," Of course, you do not have to, of course, false Arcite.","Nay, certes, false Arcite, thow shalt nat so.
"
287,"I loved hire first, and told thee my woe
","I'm telling you, I loved hire first, and I'm sorry about it."," I tell thee, I loved hire first, and I am sorry for it.","I loved hire first, and tolde thee my wo
"
288,"As to my confidant and my sworn brother
",to my friend and my brother-in-law., To my friend and my brother-in-law.,"As to my conseil and my brother sworn
"
289,"To further me, as I have told before.
","as I've said before, I'm not interested in the idea of a woman's body."," I am not interested in the idea of a woman's body,","To forthre me, as I have toold biforn.
"
290,"For which thou art bound as a knight
",you're bound to be a knight for me., You are bound to be a knight for me.,"For which thou art ybounden as a knyght
"
291,"To help me, if it lay in thy power,
","if you can help me, I'll help you."," If you can help me, I'll help you.","To helpen me, if it lay in thy myght,
"
292,"Or else thou art false, I dare well say.""
","""I'm sure you're lying, I'm sure."""," "" I am sure you lie, I am sure. ""","Or elles artow fals, I dar wel seyn.""
"
293,"This Arcite full proudly spoke in return:
","""I'm glad you're here, I'm glad you're here, I'm glad you're here,"" said Arcite, smiling."," "" I am glad you are here, I am glad you are here, I am glad you are here, I am glad you are here, I am glad you are here, I am glad you are here, I am glad you are here, I am glad you","This Arcite ful proudly spak ageyn:
"
294,"""Thou shalt,"" said he, ""be rather false than I;
","""you're not really,"" he said, ""you're just a little bit of a liar."""," "" You're not really, "" he said, ""you're just a little bit of a liar.""","""Thow shalt,"" quod he, ""be rather fals than I;
"
295,"And thou art false, I tell thee flatly,
","I'm telling you straight, you're lying, I'm telling you straight."," I tell you straight, you lie, I tell you straight.","And thou art fals, I telle thee outrely,
"
296,"As a mistress I loved her first before thou.
","before I loved her, I loved her more than I loved her."," I loved her more than I loved her,","For paramour I loved hire first er thow.
"
297,"What wilt thou say? Thou knowest not yet now
","you don't know yet, do you?", Do you not know yet?,"What wiltow seyen? Thou woost nat yet now
"
298,"Whether she is a woman or goddess!
",she's a woman or a goddess!, SheâĢĶâĢĶa woman or a goddess!,"Wheither she be a womman or goddesse!
"
299,"Thine is a feeling of holiness,
","it's a feeling of purity, a feeling of purity, a feeling of purity, a feeling of purity, a feeling..."," It is a feeling of purity, a feeling of purity, a feeling of purity, a feeling of purity, a feeling...","Thyn is affeccioun of hoolynesse,
"
300,"And mine is love as to a creature;
",mine's love for a creature as much as a creature., Mine love for a creature as much as a creature.,"And myn is love as to a creature;
"
301,"For which I told thee my circumstance
","I'm telling you what I'm telling you, and I'm telling you what I'm telling you."," I say unto you, What I am saying, and I say unto you what I am saying.","For which I tolde thee myn aventure
"
302,"As to my cousin and my sworn brother.
",to my cousin and my brother-in-law., To my cousin and my brother-in-law.,"As to my cosyn and my brother sworn.
"
303,"I posit (this assumption): that thou lovedest her first;
",I'm assuming you loved her first., I assume you loved her first.,"I pose that thow lovedest hire biforn;
"
304,"Knowest thou not well the old clerks' saying,
","""I'm not sure what the old clerk said, but I'm sure it's not good."""," "" I know not what the old clerk said, "" but I am sure it is not good. ""","Wostow nat wel the olde clerkes sawe,
"
305,"That `who shall give a lover any law?'
","""who's gonna give a lover a law?"""," "" Who give a law to a lover?","That `who shal yeve a lovere any lawe?'
"
306,"Love is a greater law, by my skull,
",the skull of the skull is a greater law., The skull of the skull is a greater law.,"Love is a gretter lawe, by my pan,
"
307,"Than may be given to any earthly man;
",maybe even a man from the world;, Perhaps even a man from the world;,"Than may be yeve to any erthely man;
"
308,"And therefore positive (man-made) law and such decree
",in the context of the context of the context of the context of the context of the context of the..., In the context of the context of the context of the context of the context of the context of the context of the context of the context of the context of the context of the context of the context of the context of the context of the context of the context of the context of the context of the,"And therfore positif lawe and swich decree
"
309,"Is broken every day for love in every way.
",every day I'm broken for love., Every day I am broken for love.,"Is broken al day for love in ech degree.
"
310,"A man must of necessity love, in spite of all he can do;
","even though he can do nothing about it, he must love it;"," And yet, he must love it, and love it;","A man moot nedes love, maugree his heed;
"
311,"He can not flee (from) it, though he should be dead,
","but he can't escape him, even if he dies."," But he can't escape him, even if he die.","He may nat fleen it, thogh he sholde be deed,
"
312,"Whether she be maid, or widow, or else wife.
","she's a woman, a widow, a widow, a widow, a widow."," She is a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman, a woman","Al be she mayde, or wydwe, or elles wyf.
"
313,"And also it is not likely all thy life
",and your life is not likely to be yours., And your life is not likely to be yours.,"And eek it is nat likly al thy lyf
"
314,"To stand in her good graces; no more shall I;
",I won't stand in her good graces any more; no more., I will not stand in her good graces any more; no more.,"To stonden in hir grace; namoore shal I;
"
315,"For well thou thyself knowest, truly,
","you know, really, you know, you know, you know, you know, you know, you know, you know, you know,..."," You know, really, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you","For wel thou woost thyselven, verraily,
"
316,"That thou and I are condemned to prison
",we're going to jail for you and me., We are to be imprisoned for you and us.,"That thou and I be dampned to prisoun
"
317,"Perpetually; no ransom can help us.
",no ransom can be paid to us., No ransom can be paid to us.,"Perpetuelly; us gayneth no raunsoun.
"
318,"We strive as the hounds did for the bone;
",we're trying to get the bone as the hounds did;, We try to get the bone as the hounds did;,"We stryve as dide the houndes for the boon;
"
319,"They fought all day, and yet their share was nothing.
","they fought all day, but they didn't have anything."," They fought all day, but not till they had nothing.","They foughte al day, and yet hir part was noon.
"
320,"There came a kite, while they were so angry,
","they flew a kite, and they were angry."," They flew a kite, and they were angry.","Ther cam a kyte, whil that they were so wrothe,
"
321,"And carried away the bone between them both.
","they both fell to the ground, and the bone between them was broken."," And they both fell to the ground, and the bone between them broke.","And baar awey the boon bitwixe hem bothe.
"
322,"And therefore, at the king's court, my brother,
","my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my..."," My brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother,","And therfore, at the kynges court, my brother,
"
323,"Each man for himself, there is no other (way).
",there's no other way to do it for yourself., There is no other way to do it for yourself.,"Ech man for hymself, ther is noon oother.
"
324,"Love, if it please thee, for I love and always shall;
","if you want, I'll always love you, and I'll always love you."," If you want, I will always love you, and I will always love you.","Love, if thee list, for I love and ay shal;
"
325,"And truly, dear brother, this is all.
","really, my dear brother, it's all over."," Really, my dear brother, it's all over.","And soothly, leeve brother, this is al.
"
326,"Here in this prison we must endure,
",we have to endure in this prison., We have to endure in this prison.,"Heere in this prisoun moote we endure,
"
327,"And each one of us take his chance.""
","""each of us has a chance to be.""", Each of us has a chance to be,"And everich of us take his aventure.""
"
328,"Great and long was the strife between them two,
","they were both in a long and fierce battle, and they were both in the middle of it."," And they were both in a long and fierce battle, and they were both in the middle of it.","Greet was the strif and long bitwix hem tweye,
"
329,"If I had leisure to tell (it);
",I'd like to tell you something (it) if I have time;, I would like to tell you something (it) if I have time;,"If that I hadde leyser for to seye;
"
330,"But to the point. It happened on a day,
","on the day of the day, the day of the day, the day of the day, the day of the day, the day of"," And on the day of the day, the day of the day, the day of the day, the day ","But to th'effect. It happed on a day,
"
331,"To tell it to you as briefly as I can,
","as I can, as I can, as I can, as I can, as I can, as I can, as I can,"," As I can, as I can, as I can, as I can, as I can, as I can, as I can, as I can, as I can, as I can, as I can, as I can, as I can, as I can","To telle it yow as shortly as I may,
"
332,"A worthy duke that was called Perotheus,
",a worthy duke who was called Perotheus., A worthy duke that was called Perotheus.,"A worthy duc that highte Perotheus,
"
333,"Who was a friend to duke Theseus
",he was a friend of the duke of Theseus., He was a friend of the duke of Theseus.,"That felawe was unto duc Theseus
"
334,"Since that same time that they were little children,
","they were little kids, and they were little kids."," They were little children, and they were little children.","Syn thilke day that they were children lite,
"
335,"Had come to Athens to visit his friend,
",he came to Athens to visit his friend., And he came to Athens to visit his friend.,"Was come to Atthenes his felawe to visite,
"
336,"And to amuse himself as he was accustomed to do;
",to amuse himself as he likes;, To amuse himself with his own amusements;,"And for to pleye as he was wont to do;
"
337,"For in this world he loved no man so (much),
",he loved no man in this world more than he loved himself.," Love, he loved no man in this world more than he loved himself.","For in this world he loved no man so,
"
338,"And he (Theseus) loved him as tenderly in turn.
",he loved him as tenderly as he loved himself., And he loved him as tenderly as he loved himself.,"And he loved hym als tendrely agayn.
"
339,"So well they loved, as old books say,
","they loved it, as old books say, as they say."," They loved it, as old books say, as old books say.","So wel they lovede, as olde bookes sayn,
"
340,"That when one was dead, truly to tell,
","when one died, it was really to be told."," And when one died, it was really to be told.","That whan that oon was deed, soothly to telle,
"
341,"His friend went and sought him down in hell --
",he was looking for a friend in hell - and he found him - a friend., He was looking for a friend in hell - and found him - a friend.,"His felawe wente and soughte hym doun in helle --
"
342,"But of that story I do not desire to write.
",I don't want to write this story. I don't want to write it., I don't want to write this story.,"But of that storie list me nat to write.
"
343,"Duke Perotheus loved well Arcite,
",the Duke Perotheus liked Arcite very much., The Duke Perotheus liked Arcite very much.,"Duc Perotheus loved wel Arcite,
"
344,"And had known him at Thebes year after year,
","he knew him in Thebes for years, and he knew him in the year of his life."," He knew him in the Thebes for years, and he knew in the year of his life in Thebes.","And hadde hym knowe at Thebes yeer by yere,
"
345,"And finally at request and prayer
","in the end, the request and prayer were granted."," In the end, the request and prayer were granted.","And finally at requeste and preyere
"
346,"Of Perotheus, without any ransom,
","without any ransom, Perotheus will be released."," Perotheus will be released, without any ransom.","Of Perotheus, withouten any raunsoun,
"
347,"Duke Theseus let him out of prison
",Duke Theus released him from prison., Duke Theus released him from prison.,"Duc Theseus hym leet out of prisoun
"
348,"Freely to go all over, wherever he wishes,
","anywhere he wants, wherever he wants, he can go."," Where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where he wants, where","Frely to goon wher that hym liste over al,
"
349,"In such a manner as shall I tell you.
","as I'm telling you, so I'm telling you."," As I tell you, so I tell you.","In swich a gyse as I you tellen shal.
"
350,"This was the agreement, plainly to write,
","it was a contract, clearly written, and clearly agreed to by the parties."," It was a contract, clearly written, and agreed to by the parties.","This was the forward, pleynly for t'endite,
"
351,"Between Theseus and this Arcite:
",this Arcite and this Arcite:, This Arcite and this Arcite:,"Bitwixen Theseus and hym Arcite:
"
352,"That if it so were that Arcite were found
","if it were true that Arcite was found, it would be a great deal of work."," If it were true that Arcite was found, it would be a great deal of work.","That if so were that Arcite were yfounde
"
353,"Ever in his life, by day or night, at any moment
","on the day of the day, night or night, he was on his way to the day of the day."," On the day of the day, night or night, he was on his way to the day of the day.","Evere in his lif, by day or nyght, oo stounde
"
354,"In any country of this Theseus,
","in any country of the world, the world's population is growing."," In any country of the world, the number of the inhabitants of any country grows.","In any contree of this Theseus,
"
355,"And if he were caught, it was agreed thus,
","if they caught him, they agreed to take him to the police."," If they caught him, they agreed to take him to the police.","And he were caught, it was acorded thus,
"
356,"That with a sword he should lose his head.
",he should have lost his head with a sword., And he should have lost his head with a sword.,"That with a swerd he sholde lese his heed.
"
357,"There was no other remedy nor course of action;
","therefore, no other remedy or remedy;", Therefore no other remedy or remedy;,"Ther nas noon oother remedie ne reed;
"
358,"But (he) takes his leave, and homeward he sped.
","he left, and he sped away."," He left, and he hastened away.","But taketh his leve, and homward he him spedde.
"
359,"Let him be ware! His neck lies as a pledge.
",he's got a promise on his neck., He has a promise on his neck,"Lat hym be war! His nekke lith to wedde.
"
360,"How great a sorrow now suffers Arcite!
",Arcite is now suffering a great shame!, Arcite is now suffering a great shame!,"How greet a sorwe suffreth now Arcite!
"
361,"He feels the death smite through his heart;
",he feels the death strike his heart;, He feels the death strike his heart;,"The deeth he feeleth thurgh his herte smyte;
"
362,"He weeps, wails, cries piteously;
","weeps, wails, cries of despair;"," Weeps, wails, wails, cries of despair;","He wepeth, wayleth, crieth pitously;
"
363,"To slay himself he secretly awaits (an opportunity).
",he secretly awaits the opportunity to kill himself., He waits for the opportunity to kill himself.,"To sleen hymself he waiteth prively.
"
364,"He said, ""Alas that day that I was born!
","""unfortunately, I was born that day,"" he said."," 'Tis a sad day, "" he said, "" that I was born that day. ""","He seyde, ""Allas that day that I was born!
"
365,"Now my prison is worse than before;
",I'm worse than ever in prison;, I am worse than ever in prison;,"Now is my prisoun worse than biforn;
"
366,"Now I am destined eternally to dwell
",I'm destined to be forever in the world of the living., I am destined to be forever in the world of the living.,"Now is me shape eternally to dwelle
"
367,"Not in purgatory, but in hell.
","in purgatory, but in hell."," In purgatory, but in hell.","Noght in purgatorie, but in helle.
"
368,"Alas, that ever I knew Perotheus!
","unfortunately, I know Perotheus, but I'm afraid I don't know him."," Alas, I know Perotheus, but I am afraid I cannot know him.","Allas, that evere knew I Perotheus!
"
369,"For else I would have remained with Theseus,
","if I were to stay with them, I would have stayed with them."," If I were to stay with them, I would have stayed with them.","For elles hadde I dwelled with Theseus,
"
370,"Fettered in his prison evermore.
","he was still in prison, and he was still in prison."," He still was in prison, and he was still in prison.","Yfetered in his prisoun everemo.
"
371,"Then would I have been in bliss and not in woe.
",I'd be happy and not in despair., I would be happy and not in despair.,"Thanne hadde I been in blisse and nat in wo.
"
372,"Only the sight of her whom I serve,
","the sight of her who serves me, the sight of her who serves me."," The sight of her that is served me, the sight of her that serve me","Oonly the sighte of hire whom that I serve,
"
373,"Though I never can deserve her grace,
","I'm not worthy of her grace, I don't deserve her."," I am not worthy of her grace, I am not worthy of her grace.","Though that I nevere hir grace may deserve,
"
374,"Would have sufficed right enough for me.
",I'd be able to do it. I'd be able to do it., I'd be able to do it.,"Wolde han suffised right ynough for me.
"
375,"O dear cousin Palamon,"" said he,
","""oh, my dear cousin Palamon,"" he said, ""I'm sorry, but I have to apologize."""," "" Oh, my dear cousin PalâĢĻs cousin, "" he said, "" I'm sorry, but I have to apologize.","O deere cosyn Palamon,"" quod he,
"
376,"""The victory of this adventure is thine.
",you have won the adventure for yourself., You have won the adventure for yourself.,"""Thyn is the victorie of this aventure.
"
377,"Very blissfully in prison thou can remain --
",you can stay in prison forever - blissfully happy to be in prison., You can stay in prison forever - blissfully happy to be in prison,"Ful blisfully in prison maistow dure --
"
378,"In prison? Certainly not, but in paradise!
","of course, not in prison, but in heaven!"," Of course not in prison, but in heaven!","In prison? Certes nay, but in paradys!
"
379,"Well has Fortune turned the dice for thee,
","you have turned the dice for Fortune, and she's turned them."," You have turned the dice for Fortune, and she hath turned them.","Wel hath Fortune yturned thee the dys,
"
380,"That hast the sight of her, and I the absence.
","I'm looking at her, and I'm missing her."," I am looking at her, and I miss her.","That hast the sighte of hire, and I th'absence.
"
381,"For it is possible, since thou hast her presence,
","since you have her presence, it's possible that she's here."," Since she hath her presence, it is possible that she is here.","For possible is, syn thou hast hire presence,
"
382,"And art a knight, a worthy and an able (one),
","art a knight, a worthy and capable (one)."," Art a knight, worthy and capable (one).","And art a knyght, a worthy and an able,
"
383,"That by some chance, since Fortune is changeable,
","because Fortune is changing, it's possible to change it.", It is possible to change it.,"That by som cas, syn Fortune is chaungeable,
"
384,"Thou mayest sometime attain thy desire.
",you may be able to achieve your desire., You may be able to attain your desire.,"Thow maist to thy desir somtyme atteyne.
"
385,"But I, who am exiled and barren
","I'm a prisoner and barren, I'm a prisoner and barren."," I am a prisoner and barren, I am a prisoner and barren.","But I, that am exiled and bareyne
"
386,"Of all grace, and in so great despair
","in such despair, I'm so glad I'm so lucky to be so lucky.", I am so glad I am so lucky to be so lucky,"Of alle grace, and in so greet dispeir
"
387,"That there is not earth, water, fire, nor air,
","there's not even a drop of water, fire, or air."," There is not even a drop of water, fire, or air,","That ther nys erthe, water, fir, ne eir,
"
388,"Nor creature that is made of them,
","creatures made of them, creatures made of them, creatures made of them, creatures made of them,..."," Creatures made of them, creatures made of them, creatures made of them, creatures made of them, creatures made of them, creatures made of them, creatures made of them, creatures made of them, creatures made of them, creatures made of them, creatures made of them, creatures made of them, creatures made of","Ne creature that of hem maked is,
"
389,"That can help me or do comfort (to me) in this,
",it can help me or comfort me (to be), It can help me or comfort me (to be),"That may me helpe or doon confort in this,
"
390,"Well ought I to die in despair and distress.
",I should be despairing and despairing., I should be despairing and despairing.,"Wel oughte I sterve in wanhope and distresse.
"
391,"Farwell my life, my desire, and my gladness!
","I'm happy to be happy, my life, my desire, and my joy!"," I am happy to be happy, my life, my desire, and my joy!","Farwel my lif, my lust, and my gladnesse!
"
392,"""Alas, why do folk so commonly complain
","unfortunately, the people who complain are often the ones who are the ones who are the most likely...", The people who complain are often the ones who are the most likely to complain--,"""Allas, why pleynen folk so in commune
"
393,"About the providence of God, or of Fortune,
","the fate of the gods, or the fortune of the fortune."," The fate of the gods, or the fortune of the fortune.","On purveiaunce of God, or of Fortune,
"
394,"That gives them full often in many a manner
","it's a full-time job for them, and they're often full of work."," It's a full-time job for them, and they often work full time.","That yeveth hem ful ofte in many a gyse
"
395,"Much better than they can themselves imagine?
",and they can't even imagine better than they can?, And they can't even imagine better than they can?,"Wel bettre than they kan hemself devyse?
"
396,"One man desires to have riches,
","a man wants to have a lot of money, and he wants to have a lot of money."," A man wants to have a lot of money, and he wants to have a lot of money.","Som man desireth for to han richesse,
"
397,"Which is the cause of his murder or great sickness;
",the cause of his death or a great disease;, Cause of his death or a great disease;,"That cause is of his mordre or greet siknesse;
"
398,"And one man would happily (go) out of his prison,
",one man would be happy to go to jail., One man would be happy to go to jail.,"And som man wolde out of his prisoun fayn,
"
399,"Who is slain in his house by members of his household.
",he was killed by his housemate when he was killed., And he was slain by his housemate when he was slain.,"That in his hous is of his meynee slayn.
"
400,"Infinite harms are in this matter.
","in this case, the infinite damage is caused by the fact that the matter is infinite."," In this case, the infinite damage is caused by the fact that the matter is finite.","Infinite harmes been in this mateere.
"
401,"We know not what thing we pray for here;
",we don't know what we're praying for here; we don't know what we're praying for., We don't know what we pray for here; we don't know what we pray for here.,"We witen nat what thing we preyen heere;
"
402,"We act like one who is drunk as a mouse.
","they act like a drunkard, like a mouse."," They act like drunkards, like a mouse.","We faren as he that dronke is as a mous.
"
403,"A drunk man knows well he has a house,
","a drunkard knows he's got a house, too."," A drunkard knows he hath a house, too.","A dronke man woot wel he hath an hous,
"
404,"But he does not know which is the right way to it,
","he doesn't know what's the right way to do it, but he's not sure."," He knows not what to do, but he knows that it is right.","But he noot which the righte wey is thider,
"
405,"And to a drunk man the way is slippery.
",it's slippery for a drunkard., It is slippery for a drunkard.,"And to a dronke man the wey is slider.
"
406,"And certainly, so we fare in this world;
","of course, we're going to do it in this world;"," Of course, we do it in this world;","And certes, in this world so faren we;
"
407,"We seek eagerly after felicity,
","we're eager to seek out felicity, eager to seek out felicity."," We seek out felicity, eager to seek out felicity.","We seken faste after felicitee,
"
408,"But we go wrong very often, truly.
","we're really bad, really often."," We're so bad, really often.","But we goon wrong ful often, trewely.
"
409,"Thus can we all say, and especially I,
","and especially I, I can say, and especially I,"," And especially I, I can say, and especially","Thus may we seyen alle, and namely I,
"
410,"Who supposed and had a firm belief
",I have a firm belief and I'm sure I'm right., I have firm belief and I am right.,"That wende and hadde a greet opinioun
"
411,"That if I might escape from prison,
","if I escape from prison, I'll be able to escape."," If I escape from prison, I'll be able to escape.","That if I myghte escapen from prisoun,
"
412,"Then I would have been in joy and perfect well-being,
",I'd be happy and happy to be happy and happy., I would be happy and happy to be happy and happy.,"Thanne hadde I been in joye and parfit heele,
"
413,"Whereas now I am exiled from my source of happiness.
",now I'm in a place where I'm not happy with my source of happiness., Now I am in a place where I am not happy with my source of happiness.,"Ther now I am exiled fro my wele.
"
414,"Since I can not see you, Emelye,
","I'm not looking for you, Emelye, I'm looking for you."," I am not looking for thee, Emelye, I am not looking for thee.","Syn that I may nat seen you, Emelye,
"
415,"I am as good as dead; there is not any remedy.""
","I'm as good as dead, there's no cure. """," I am as good as dead, there is no cure.","I nam but deed; ther nys no remedye.""
"
416,"Upon that other side Palamon,
","and Palamon's side, Palamon's side, Palamon's side, Palamon's side, Palamon's side, Palamon"," And Palamon's side, And Palamon's side, And PalâĢĻs side,","Upon that oother syde Palamon,
"
417,"When he knew Arcite was gone,
","when he knew he was gone, he knew he was gone.", He knew he was gone.,"Whan that he wiste Arcite was agon,
"
418,"He makes such sorrow that the great tour
",the great tour is a great sadness., The great tour is a melancholy.,"Swich sorwe he maketh that the grete tour
"
419,"Resounds with his yowling and clamor.
",he's a yowling and a clamor., He is yowling and clamour.,"Resouneth of his youlyng and clamour.
"
420,"The great fetters themselves on his shins
",the great shackles on his feet and feet and feet and feet and feet and feet and feet and feet and..., The great shackles on his feet and feet and feet and feet and feet and feet and feet and feet and feet and feet and,"The pure fettres on his shynes grete
"
421,"Were wet from his bitter, salt tears.
",from bitter tears of salt tears., From bitter tears of salt tears,"Weren of his bittre, salte teeres wete.
"
422,"""Alas,"" said he, ""Arcite, cousin mine,
","""unfortunately, my cousin, I'm afraid, is not my friend,"" he said."," "" Unfortunately, my cousin, I fear, is not my friend,","""Allas,"" quod he, ""Arcita, cosyn myn,
"
423,"Of all our strife, God knows, the profit is thine.
","God knows, the profit is yours, too, for all the trouble."," God knows, the profit is yours, too, for all the trouble.","Of al oure strif, God woot, the fruyt is thyn.
"
424,"Thou walkest freely now in Thebes,
","you're going to go straight to thebes now, you're free."," You go straight to thebes now, free.","Thow walkest now in Thebes at thy large,
"
425,"And thou care little about my woe.
",you're not interested in my suffering., You are not interested in my suffering.,"And of my wo thow yevest litel charge.
"
