,Original,Paraphrased,Modern
226,"Oure prisoun, for it may noon oother be.
","it's a prisoun, for it's not possible to be any other.","Our imprisonment, for it may not be otherwise.
"
227,"Fortune hath yeven us this adversitee.
",we have a great deal of fortune in this case.,"Fortune has given us this adversity.
"
228,"Som wikke aspect or disposicioun
",Som wikke aspect or disposicioun,"Some wicked aspect or disposition
"
229,"Of Saturne, by som constellacioun,
","by the constellacioun, by the constellacioun, by the constellacioun, by the constellacioun, by the constellacioun","Of Saturn, by some arrangement of the heavenly bodies,
"
230,"Hath yeven us this, although we hadde it sworn;
","we swear we didn't, but we promised.","Has given us this, although we had sworn it would not be;
"
231,"So stood the hevene whan that we were born.
",the hevene stood up and we were born.,"So stood the heavens when we were born.
"
232,"We moste endure it; this is the short and playn.""
","it's a short and easy game, so it's a short and easy game. ""","We must endure it; this is the short and plain.""
"
233,"This Palamon answerde and seyde agayn,
","the Palamon answered and said, ""I'm sorry, but I'm sorry, but I'm sorry.""","This Palamon answered and said in reply,
"
234,"""Cosyn, for sothe, of this opinioun
","Cosyn, for the opinion of the Council, of this opinion, of this opinion, of this opinion, of this opinion, of this opinion, of this opinion,","""Cousin, truly, concerning this opinion
"
235,"Thow hast a veyn ymaginacioun.
",Veyn ymaginacioun.,"Thou hast a foolish conception.
"
236,"This prison caused me nat for to crye,
","I was crying for a moment, and then I cried.","This prison did not cause me to cry out,
"
237,"But I was hurt right now thurghout myn ye
","I'm hurt right now, but I'm not gonna hurt you.","But I was hurt right now through my eye
"
238,"Into myn herte, that wol my bane be.
",I'm gonna take my bane to my nag.,"Into my heart, so that it will be the death of me.
"
239,"The fairnesse of that lady that I see
","the lady I've seen, the lady I've seen, the lady I've seen.","The fairness of that lady whom I see
"
240,"Yond in the gardyn romen to and fro
",on the gardyn romen to the gardyn romen.,"Yonder in the garden roaming to and fro
"
241,"Is cause of al my criyng and my wo.
",cause I'm a criyng and a woe.,"Is cause of all my crying and my woe.
"
242,"I noot wher she be womman or goddesse,
","noot wher she's a woman or a woman, noot wher she's a woman.","I know not whether she is woman or goddess,
"
243,"But Venus is it soothly, as I gesse.""
","""it's a shame, as I'm sure you know.""","But truly it is Venus, as I suppose.""
"
244,"And therwithal on knees doun he fil,
","he was on his knees, and he was on his knees, and he was on his knees.","And with that he fell down on his knees,
"
245,"And seyde, ""Venus, if it be thy wil
","""Venus, if it's your will, Venus, if it's your will, Venus.","And said, ""Venus, if it be thy will
"
246,"Yow in this gardyn thus to transfigure
",so that the gardyn will be transformed into a gardyn.,"Thus to transfigure yourself in this garden
"
247,"Bifore me, sorweful, wrecched creature,
","if I'm not mistaken, it's a creature of the Fomorians.","Before me, sorrowful, wretched creature,
"
248,"Out of this prisoun help that we may scapen.
","we can help you with this help, which we can also scapen.","Help that we may escape out of this prison.
"
249,"And if so be my destynee be shapen
","if so, my dear, my dear, my dear, my dear, my dear, my dear, my dear, my dear, my dear, my dear, my","And if it be so that my destiny is shaped
"
250,"By eterne word to dyen in prisoun,
","eterne word to dyen in the name of the dyen,","By eternal decree to die in prison,
"
251,"Of oure lynage have som compassioun,
","the oure Lynage is som compassioun,","Have some compassion on our (noble) lineage
"
252,"That is so lowe ybroght by tirannye.""
","it's a little low, but it's a good thing. ""","Which is brought so low by tyranny.""
"
253,"And with that word Arcite gan espye
",with the word arcite gan especiale especiale especiale especiale especiale especiale especial,"And with that word Arcite did see
"
254,"Wher as this lady romed to and fro,
","as she danced and danced, she was dancing, and danced, and danced, and danced, and danced, and danced, and danced, and danced, and danced,","Where this lady roamed to and fro,
"
255,"And with that sighte hir beautee hurte hym so,
","with that look, he was a little surprised.","And with that sight her beauty hurt him so,
"
256,"That, if that Palamon was wounded sore,
","if Palamon was wounded, he would be wounded.","That, if Palamon was sorely wounded,
"
257,"Arcite is hurt as muche as he, or moore.
","as he, or mooor, or mooor, or mooor, or mooor, or mooor, or mooor, or mooor, or m","Arcite is hurt as much as he, or more.
"
258,"And with a sigh he seyde pitously,
","he sighed, and then he sighed again, and then he sighed. He sighed again, and then he sighed. He sighed, and then he sighed. He sighed, and then he sighed. He","And with a sigh he said piteously,
"
259,"""The fresshe beautee sleeth me sodeynly
",the fresshe is a little bit of a sodeynly.,"""The fresh beauty slays me suddenly
"
260,"Of hire that rometh in the yonder place;
",the hire of the rometh in the next place;,"Of her who roams in the yonder place;
"
261,"And but I have hir mercy and hir grace,
","but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry,","And unless I have her mercy and her grace,
"
262,"That I may seen hire atte leeste weye,
","I'm sure I'll see a hire in the tees, we'll see.","So that I can at least see her,
"
263,"I nam but deed; ther nis namoore to seye.""
","""but it's not just a deed, it's a deed.""","I am as good as dead; there is no more to say.""
"
264,"This Palamon, whan he tho wordes herde,
","when he heard the word, Palamon, who was a little surprised, said, 'What is it, my dear? 'Said Palamon, who was a little surprised.","This Palamon, when he heard those words,
"
265,"Dispitously he looked and answerde,
","he looked and answered, and then he looked again. He was looking again, and then again. He looked again, and then again. He looked again, and then again. He looked again,","Angrily he looked and answered,
"
266,"""Wheither seistow this in ernest or in pley?""
",whenever you want to go to the seist or the pley?',"""Sayest thou this in earnest or in play?""
"
267,"""Nay,"" quod Arcite, ""in ernest, by my fey!
","no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,","""Nay,"" said Arcite, ""in earnest, by my faith!
"
268,"God helpe me so, me list ful yvele pleye.""
","""listen, I'm going to be a list of yves.""","So help me God, I have no desire to play.""
"
269,"This Palamon gan knytte his browes tweye.
",Palamon's brow furrowed with a brow furrow.,"This Palamon did knit his two brows.
"
270,"""It nere,"" quod he, ""to thee no greet honour
","""no thanks,"" he said, ""I'm not welcome to you.""","""It would not be,"" said he, ""any great honor to thee
"
271,"For to be fals, ne for to be traitour
","to be a lie, ne for a traitor.","To be false, nor to be traitor
"
272,"To me, that am thy cosyn and thy brother
",that's your cosyn and your brother's cosyn.,"To me, who am thy cousin and thy brother
"
273,"Ysworn ful depe, and ech of us til oother,
","we swear to you, we will not be able to do it, but we will.","Sworn very sincerely, and each of us to the other,
"
274,"That nevere, for to dyen in the peyne,
","nevere, for the peyns, for the peyns, for the peyns, for the peyns, for the peyns, for the peyns, for","That never, though we had to die by torture,
"
275,"Til that the deeth departe shal us tweyne,
","we will be able to leave the deeth, we will be able to leave the deeth.","Until death shall part us two,
"
276,"Neither of us in love to hyndre oother,
","we don't love hyndre oother, but we love him.","Neither of us in love (is) to hinder the other,
"
277,"Ne in noon oother cas, my leeve brother,
","in the afternoon, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother,","Nor in any other case, my dear brother,
"
278,"But that thou sholdest trewely forthren me
","you should have done it with me, but you didn't.","But rather thou shouldest truly help me
"
279,"In every cas, as I shal forthren thee --
",as I'm shaltering you -- as I'm shaltering you -- as I'm shaltering you -- as I'm shaltering you -- as I'm shaltering you --,"In every case, as I shall help thee --
"
280,"This was thyn ooth, and myn also, certeyn;
","it was thyn ooth, and myn, certeyn;","This was thy oath, and mine also, certainly;
"
281,"I woot right wel, thou darst it nat withseyn.
","well, you don't have to be afraid of it, you know.","I know right well, thou darest not deny it.
"
282,"Thus artow of my conseil, out of doute,
","artow of my conseil, out of the ditch,","Thus thou art my trusted confidant, without doubt,
"
283,"And now thow woldest falsly been aboute
",now it's about the best thing to do is to be a fool.,"And now thou wouldest falsely be busy preparing
"
284,"To love my lady, whom I love and serve,
","love my lady, who likes me and I like her.","To love my lady, whom I love and serve,
"
285,"And evere shal til that myn herte sterve.
",I'm gonna take myn to myn.,"And ever shall until my heart dies.
"
286,"Nay, certes, false Arcite, thow shalt nat so.
","yes, certes, false Arcite, you don't have to.","Nay, certainly, false Arcite, thou shalt not (do) so.
"
287,"I loved hire first, and tolde thee my wo
","I've been a hire, and I told you I loved it.","I loved hire first, and told thee my woe
"
288,"As to my conseil and my brother sworn
","to my brother and my brother's brother, I swear to you.","As to my confidant and my sworn brother
"
289,"To forthre me, as I have toold biforn.
","as I've told you, I'm going to tell you the truth.","To further me, as I have told before.
"
290,"For which thou art ybounden as a knyght
",for which you're bound by a knyght of knyght.,"For which thou art bound as a knight
"
291,"To helpen me, if it lay in thy myght,
","if it's in my power, I'll help you.","To help me, if it lay in thy power,
"
292,"Or elles artow fals, I dar wel seyn.""
","""I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but","Or else thou art false, I dare well say.""
"
293,"This Arcite ful proudly spak ageyn:
",Arcite ful proudly spake:,"This Arcite full proudly spoke in return:
"
294,"""Thow shalt,"" quod he, ""be rather fals than I;
","""be a little more of a lie than I,"" he said, ""but I'll be fine.""","""Thou shalt,"" said he, ""be rather false than I;
"
295,"And thou art fals, I telle thee outrely,
","you're a liar, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I","And thou art false, I tell thee flatly,
"
296,"For paramour I loved hire first er thow.
","I loved the hire of the bride, but I didn't want to hire her.","As a mistress I loved her first before thou.
"
297,"What wiltow seyen? Thou woost nat yet now
",you don't have to be a wiltow to be a wiltow.,"What wilt thou say? Thou knowest not yet now
"
298,"Wheither she be a womman or goddesse!
",she's a woman or a woman-woman!,"Whether she is a woman or goddess!
"
299,"Thyn is affeccioun of hoolynesse,
","the hoolynesse is a hoolynesse, a hoolynesse, a hoolynesse, a hoolynesse, a","Thine is a feeling of holiness,
"
300,"And myn is love as to a creature;
",myn is love for a creature;,"And mine is love as to a creature;
"
301,"For which I tolde thee myn aventure
","I'm telling you my adventure, and I'm telling you my adventure.","For which I told thee my circumstance
"
302,"As to my cosyn and my brother sworn.
","my brother and I swear to you, my brother.","As to my cousin and my sworn brother.
"
303,"I pose that thow lovedest hire biforn;
",I'm gonna take a look at the hire biforn;,"I posit (this assumption): that thou lovedest her first;
"
304,"Wostow nat wel the olde clerkes sawe,
","the old-fashioned priest's sawe, the old-fashioned priest's sawe, the old-fashioned priest's sawe.","Knowest thou not well the old clerks' saying,
"
305,"That `who shal yeve a lovere any lawe?'
","""who's gonna love you any law?""","That `who shall give a lover any law?'
"
306,"Love is a gretter lawe, by my pan,
","it's a gretner's law, by my pan.","Love is a greater law, by my skull,
"
307,"Than may be yeve to any erthely man;
",then you can be any man to any erthely man.,"Than may be given to any earthly man;
"
308,"And therfore positif lawe and swich decree
","therefore, the law of positiv law and the decree of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council","And therefore positive (man-made) law and such decree
"
309,"Is broken al day for love in ech degree.
",the love of love is broken every day.,"Is broken every day for love in every way.
"
310,"A man moot nedes love, maugree his heed;
","a man's love, a man's love, a man's love, a man's love, a man's love, a man's love, a man's love, a","A man must of necessity love, in spite of all he can do;
"
311,"He may nat fleen it, thogh he sholde be deed,
","he may be nat fleen, but he must have done it, he must have done it.","He can not flee (from) it, though he should be dead,
"
312,"Al be she mayde, or wydwe, or elles wyf.
","she may be a wydwe, or wydwe, or wydwe.","Whether she be maid, or widow, or else wife.
"
313,"And eek it is nat likly al thy lyf
","it's a good thing that you're not a man, but it's a shame you're not a man.","And also it is not likely all thy life
"
314,"To stonden in hir grace; namoore shal I;
",stonden in the grace of the Holy Mother; namoore shal I;,"To stand in her good graces; no more shall I;
"
315,"For wel thou woost thyselven, verraily,
","you're gonna be a great deal of fun, you know, for me.","For well thou thyself knowest, truly,
"
316,"That thou and I be dampned to prisoun
",we're dampened by the fact that we're both wet.,"That thou and I are condemned to prison
"
317,"Perpetuelly; us gayneth no raunsoun.
","it's a little bit of a gayneth, but it's not a bad thing.","Perpetually; no ransom can help us.
"
318,"We stryve as dide the houndes for the boon;
","the stryve is a dide to the hound, for the boon;","We strive as the hounds did for the bone;
"
319,"They foughte al day, and yet hir part was noon.
","he was fainting, but he was still alive. He had a part in the day, but he was still alive.","They fought all day, and yet their share was nothing.
"
320,"Ther cam a kyte, whil that they were so wrothe,
","the kyte, whil they were so wry, was a kyte.","There came a kite, while they were so angry,
"
321,"And baar awey the boon bitwixe hem bothe.
","the boon is a bit of a bane, bhail! Bhail! Bhail! Bhail! Bhail! Bhail! Bh","And carried away the bone between them both.
"
322,"And therfore, at the kynges court, my brother,
","so my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother, my brother","And therefore, at the king's court, my brother,
"
323,"Ech man for hymself, ther is noon oother.
","it's noon, man, and it's a good day.","Each man for himself, there is no other (way).
"
324,"Love, if thee list, for I love and ay shal;
","if you're on the list, I love you and I'm glad you're on it;","Love, if it please thee, for I love and always shall;
"
325,"And soothly, leeve brother, this is al.
","oh, my God, it's all right, my dear brother. It's all right.","And truly, dear brother, this is all.
"
326,"Heere in this prisoun moote we endure,
","we're in this prisoun, we're in this prisoun, we're in this prisoun.","Here in this prison we must endure,
"
327,"And everich of us take his aventure.""
","we're taking him on our adventures. ""","And each one of us take his chance.""
"
328,"Greet was the strif and long bitwix hem tweye,
","the strif and long-haired wix was a long-haired wix,","Great and long was the strife between them two,
"
329,"If that I hadde leyser for to seye;
",I'm gonna have a look at the seer; I'll see if I can find out what it is.,"If I had leisure to tell (it);
"
330,"But to th'effect. It happed on a day,
","the day of the day, the day of the day, the day of the day, the day of the day, the day of the day, the day of the day,","But to the point. It happened on a day,
"
331,"To telle it yow as shortly as I may,
","as soon as I can, I'll tell you what I have.","To tell it to you as briefly as I can,
"
332,"A worthy duc that highte Perotheus,
","a worthy ducat Perotheus, a worthy ducat Perotheus, a worthy ducat Perotheus, a worthy ducat Perotheus,","A worthy duke that was called Perotheus,
"
333,"That felawe was unto duc Theseus
",Felawe was the name of the ducat Theseus.,"Who was a friend to duke Theseus
"
334,"Syn thilke day that they were children lite,
","the day they were kids, they were children.","Since that same time that they were little children,
"
335,"Was come to Atthenes his felawe to visite,
",he came to Atthenes with a felawe to the eye.,"Had come to Athens to visit his friend,
"
336,"And for to pleye as he was wont to do;
",for he's always doing it as he likes;,"And to amuse himself as he was accustomed to do;
"
337,"For in this world he loved no man so,
","he loved no man in this world, and he loved no man in this world.","For in this world he loved no man so (much),
"
338,"And he loved hym als tendrely agayn.
",he likes hym als tendrils agayn.,"And he (Theseus) loved him as tenderly in turn.
"
339,"So wel they lovede, as olde bookes sayn,
","as old as the book says, they loved it.","So well they loved, as old books say,
"
340,"That whan that oon was deed, soothly to telle,
","when he did, he was a good man, so he said, so he said.","That when one was dead, truly to tell,
"
341,"His felawe wente and soughte hym doun in helle --
","he was a felawe, a southerner, a southerner, a southerner, a southerner, a southerner, a southerner","His friend went and sought him down in hell --
"
342,"But of that storie list me nat to write.
",I'm writing this list of my list of things to write.,"But of that story I do not desire to write.
"
343,"Duc Perotheus loved wel Arcite,
","the Perotheus was fond of the Arcite, and the Arcite liked the Perotheus.","Duke Perotheus loved well Arcite,
"
344,"And hadde hym knowe at Thebes yeer by yere,
","he knew the hym of Thebes, by the way, by yere.","And had known him at Thebes year after year,
"
345,"And finally at requeste and preyere
","and finally, the prey is requested and prey is preyed upon.","And finally at request and prayer
"
346,"Of Perotheus, withouten any raunsoun,
","withouten any raunsoun, Perotheus, withouten any raunsoun.","Of Perotheus, without any ransom,
"
347,"Duc Theseus hym leet out of prisoun
",Duc Theodorus hym leet out of the prisoun,"Duke Theseus let him out of prison
"
348,"Frely to goon wher that hym liste over al,
","to goon wher he's gonna be, he's gonna be, he's gonna be, he's gonna be, he's gonna be, he's gonna be, he","Freely to go all over, wherever he wishes,
"
349,"In swich a gyse as I you tellen shal.
","I'll tell you what you want to know, I'll tell you what you want to know.","In such a manner as shall I tell you.
"
350,"This was the forward, pleynly for t'endite,
","it was a forward, pungent for the end of the game,","This was the agreement, plainly to write,
"
351,"Bitwixen Theseus and hym Arcite:
",theodosia and theodosia:,"Between Theseus and this Arcite:
"
352,"That if so were that Arcite were yfounde
","if so, the Arcite would be found.","That if it so were that Arcite were found
"
353,"Evere in his lif, by day or nyght, oo stounde
","he's got a lot of work to do, by day or night, he's got a lot of work to do.","Ever in his life, by day or night, at any moment
"
354,"In any contree of this Theseus,
","in any of the contrees of the Theseus,","In any country of this Theseus,
"
355,"And he were caught, it was acorded thus,
","he was caught, and he was taken away, and he was taken away.","And if he were caught, it was agreed thus,
"
356,"That with a swerd he sholde lese his heed.
",he must be careful to keep his attention to the swerd.,"That with a sword he should lose his head.
"
357,"Ther nas noon oother remedie ne reed;
","nostalgia, pain, headache, dizziness, somnolence, somnolence, somnolence, somnolence, somnolence, somn","There was no other remedy nor course of action;
"
358,"But taketh his leve, and homward he him spedde.
","he ran, and homward took off his hat and hat.","But (he) takes his leave, and homeward he sped.
"
359,"Lat hym be war! His nekke lith to wedde.
",he's gonna marry his nekke lith to his wife.,"Let him be ware! His neck lies as a pledge.
"
360,"How greet a sorwe suffreth now Arcite!
","hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello,","How great a sorrow now suffers Arcite!
"
361,"The deeth he feeleth thurgh his herte smyte;
",the deeth is the thurgh of the herte; the herte is the thurgh.,"He feels the death smite through his heart;
"
362,"He wepeth, wayleth, crieth pitously;
","weep, wepeth, crieth pitifully;
weep, wepeth, crieth pitifully;","He weeps, wails, cries piteously;
"
363,"To sleen hymself he waiteth prively.
",he waits for the next time he's going to be.,"To slay himself he secretly awaits (an opportunity).
"
364,"He seyde, ""Allas that day that I was born!
","""as I was born, I was all right!"" Said Seyde.","He said, ""Alas that day that I was born!
"
365,"Now is my prisoun worse than biforn;
",I'm worse than a biforn than a prisoun.,"Now my prison is worse than before;
"
366,"Now is me shape eternally to dwelle
","I'm shape forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever, forever","Now I am destined eternally to dwell
"
367,"Noght in purgatorie, but in helle.
","it's a little bit of a purgator, but it's a good thing.","Not in purgatory, but in hell.
"
368,"Allas, that evere knew I Perotheus!
","as I know, Perotheus, I know you're Perotheus!","Alas, that ever I knew Perotheus!
"
369,"For elles hadde I dwelled with Theseus,
","I've been thinking about theseus, and I'm thinking of Elles.","For else I would have remained with Theseus,
"
370,"Yfetered in his prisoun everemo.
",he was taken to the prisoun everemo by his prisoun.,"Fettered in his prison evermore.
"
371,"Thanne hadde I been in blisse and nat in wo.
",I was in a state of confusion and confusion.,"Then would I have been in bliss and not in woe.
"
372,"Oonly the sighte of hire whom that I serve,
","only the sight of the hire I'm working for,","Only the sight of her whom I serve,
"
373,"Though that I nevere hir grace may deserve,
","I'm not gonna be able to do it, I'm not worthy of it, I don't deserve it.","Though I never can deserve her grace,
"
374,"Wolde han suffised right ynough for me.
","I was right about him, but he didn't want to. He wanted to be right.","Would have sufficed right enough for me.
"
375,"O deere cosyn Palamon,"" quod he,
","""because he's a man,"" he said, ""he's a man,"" he said, ""he's a man.""","O dear cousin Palamon,"" said he,
"
376,"""Thyn is the victorie of this aventure.
",Thyn is the victor of this adventure.,"""The victory of this adventure is thine.
"
377,"Ful blisfully in prison maistow dure --
","in prison, he was a fool -- a fool in prison --","Very blissfully in prison thou can remain --
"
378,"In prison? Certes nay, but in paradys!
","Certes nay, but in the Paradys! Certes nay, but in the Paradys! Certes nay, but in the Paradys! Certes nay,","In prison? Certainly not, but in paradise!
"
379,"Wel hath Fortune yturned thee the dys,
","you have turned your fortune upside down, you've turned your fortune upside down.","Well has Fortune turned the dice for thee,
"
380,"That hast the sighte of hire, and I th'absence.
","I'm glad to see the hire, and I'm not missing.","That hast the sight of her, and I the absence.
"
381,"For possible is, syn thou hast hire presence,
","you can hire a presence, you can hire a presence, you can hire a presence.","For it is possible, since thou hast her presence,
"
382,"And art a knyght, a worthy and an able,
","art a knave, a worthy and able man.","And art a knight, a worthy and an able (one),
"
383,"That by som cas, syn Fortune is chaungeable,
","syn Fortune is a chauntee, syn Fortune is a chauntee.","That by some chance, since Fortune is changeable,
"
384,"Thow maist to thy desir somtyme atteyne.
","you have a lot of work to do, maist, so you better do it.","Thou mayest sometime attain thy desire.
"
385,"But I, that am exiled and bareyne
",I'm a prisoner and I'm a prisoner of the barenese.,"But I, who am exiled and barren
"
386,"Of alle grace, and in so greet dispeir
","in the name of God, and in the name of God, and in the name of God, and in the name of God, and in the name of God, and in","Of all grace, and in so great despair
"
387,"That ther nys erthe, water, fir, ne eir,
","nys erthe, water, fir, ne eir,","That there is not earth, water, fire, nor air,
"
388,"Ne creature that of hem maked is,
","the creature is made of a creature, which is made of a creature, which is made of a creature, which is made of a creature, which is made of a creature,","Nor creature that is made of them,
"
389,"That may me helpe or doon confort in this,
","I'm going to do it, or I'm gonna do it myself.","That can help me or do comfort (to me) in this,
"
390,"Wel oughte I sterve in wanhope and distresse.
",I'm hoping and distressing. I hope and despair.,"Well ought I to die in despair and distress.
"
391,"Farwel my lif, my lust, and my gladnesse!
","I'm glad I'm alive, my lust, my joy, and my joy!","Farwell my life, my desire, and my gladness!
"
392,"""Allas, why pleynen folk so in commune
","as for the pleynese, why do they go to the commune?","""Alas, why do folk so commonly complain
"
393,"On purveiaunce of God, or of Fortune,
","the God of God, or the fortune of the gods.","About the providence of God, or of Fortune,
"
394,"That yeveth hem ful ofte in many a gyse
","he's a lot of fun, and he's a lot of fun, too, for a lot of people.","That gives them full often in many a manner
"
395,"Wel bettre than they kan hemself devyse?
",do you think they're going to be able to do it?,"Much better than they can themselves imagine?
"
396,"Som man desireth for to han richesse,
","the man wants to be rich, but he wants to be rich.","One man desires to have riches,
"
397,"That cause is of his mordre or greet siknesse;
",it's a mordre or greet to the mordre or greet;,"Which is the cause of his murder or great sickness;
"
398,"And som man wolde out of his prisoun fayn,
",som man wis wis wis wis wis wis wis wis wis wis wis wis wis wis wis wis w,"And one man would happily (go) out of his prison,
"
399,"That in his hous is of his meynee slayn.
",he's got a meynee kill in his house.,"Who is slain in his house by members of his household.
"
400,"Infinite harmes been in this mateere.
",the mateere has been damaged by infinite damage.,"Infinite harms are in this matter.
"
401,"We witen nat what thing we preyen heere;
",we're gonna be able to tell what we're going to be preyed upon;,"We know not what thing we pray for here;
"
402,"We faren as he that dronke is as a mous.
",he's a mous as a mous.,"We act like one who is drunk as a mouse.
"
403,"A dronke man woot wel he hath an hous,
","the dronke man's got a house, he's got a house, he's got a house, he's got a house, he's got a house, he's","A drunk man knows well he has a house,
"
404,"But he noot which the righte wey is thider,
","noot, the righte wey is the righte wey.","But he does not know which is the right way to it,
"
405,"And to a dronke man the wey is slider.
",the wey is a slipper on a dronke.,"And to a drunk man the way is slippery.
"
406,"And certes, in this world so faren we;
","certes, in this world, we're so lucky;","And certainly, so we fare in this world;
"
407,"We seken faste after felicitee,
","after felicitee, the sek was fastened to the felicitee.","We seek eagerly after felicity,
"
408,"But we goon wrong ful often, trewely.
","we're often wrong, but we're often too much of a fool.","But we go wrong very often, truly.
"
409,"Thus may we seyen alle, and namely I,
","we can see alle, and I, and I, and I, and I, and I, and I, and I, and I, and I, and I, and","Thus can we all say, and especially I,
"
410,"That wende and hadde a greet opinioun
",wende and hadde a welcome opinion.,"Who supposed and had a firm belief
"
411,"That if I myghte escapen from prisoun,
","if I'm escapen from the Prisoun,","That if I might escape from prison,
"
412,"Thanne hadde I been in joye and parfit heele,
","I was happy and happy, and I was happy to be happy.","Then I would have been in joy and perfect well-being,
"
413,"Ther now I am exiled fro my wele.
",I'm now banned from the wele.,"Whereas now I am exiled from my source of happiness.
"
414,"Syn that I may nat seen you, Emelye,
","I'm sure you'll see me, Emelye, Natalya, Natalya, Natalya, Natalya, Natalya, Natalya","Since I can not see you, Emelye,
"
415,"I nam but deed; ther nys no remedye.""
","""but there's no remedy for it, nam, nam, nam.""","I am as good as dead; there is not any remedy.""
"
416,"Upon that oother syde Palamon,
","the other syde Palamon, the other syde Palamon, the other syde Palamon.","Upon that other side Palamon,
"
417,"Whan that he wiste Arcite was agon,
","when he was agonizing, he was afraid of Arcite.","When he knew Arcite was gone,
"
418,"Swich sorwe he maketh that the grete tour
","the grete tour is the grete tour, the grete tour is the grete tour.","He makes such sorrow that the great tour
"
419,"Resouneth of his youlyng and clamour.
",you will be able to hear the sounds of the clamor and the noise.,"Resounds with his yowling and clamor.
"
420,"The pure fettres on his shynes grete
",the pure fetters on the shynes of the shynes.,"The great fetters themselves on his shins
"
421,"Weren of his bittre, salte teeres wete.
","he was wet with his bittre, the wet-eyed tippers.","Were wet from his bitter, salt tears.
"
422,"""Allas,"" quod he, ""Arcita, cosyn myn,
","""as I have said, myn, as I have said, myn,"" quod he.","""Alas,"" said he, ""Arcite, cousin mine,
"
423,"Of al oure strif, God woot, the fruyt is thyn.
","God's woot, the fruit is thyn.","Of all our strife, God knows, the profit is thine.
"
424,"Thow walkest now in Thebes at thy large,
","now you're going to go to the great Ates, now you're going to go to the great Ates.","Thou walkest freely now in Thebes,
"
425,"And of my wo thow yevest litel charge.
",I'm gonna charge you a charge for my wo thow.,"And thou care little about my woe.
"
426,"Thou mayst, syn thou hast wisdom and manhede,
","you have wisdom and a manhole, you're a fool.","Thou mayest, since thou hast wisdom and manhood,
"
427,"Assemblen alle the folk of oure kynrede,
","the folk of the oure kynrede, the people of the oure kynrede.","Assemble all the folk of our family,
"
428,"And make a werre so sharp on this citee
",make a sharp point on the citatione.,"And make a war so sharp on this city
"
429,"That by som aventure or some tretee
",by a journey or a journey or a journey or a journey or a journey or a journey or a journey or a journey or a journey or a journey or a journey or a journey,"That by some chance or some treaty
"
430,"Thow mayst have hire to lady and to wyf
",he may hire a lady and a woman to wyf.,"Thou mayest have her as lady and as wife
"
431,"For whom that I moste nedes lese my lyf.
",I'm most likely to be a nede lese my lyf to someone.,"For whom I must of necessity lose my life.
"
432,"For, as by wey of possibilitee,
",as wey of the possibility of the possibility of the possibility of the possibility of the possibility of the possibility of the possibility of the possibility of the possibility of the possibility of the possibility,"For, as by way of possibility,
"
433,"Sith thou art at thy large, of prisoun free,
","you're at your best, you're free, you're free, you're free, you're free, you're free, you're free, you're free, you're","Since thou art at thy liberty, free of prison,
"
434,"And art a lord, greet is thyn avauntage
","art a lord, welcome to the feast!","And art a lord, thy advantage is great,
"
435,"Moore than is myn, that sterve here in a cage.
","it's a cage, not a cage, it's a cage, not a cage.","More than is mine, who die here in a cage.
"
436,"For I moot wepe and wayle, whil I lyve,
",I'm gonna go to the wayle and I'll go to the wayle.,"For I must weep and wail, while I live,
"
437,"With al the wo that prison may me yive,
","in the prison, I'm sure I'll be able to do it,","With all the woe that prison may give me,
"
438,"And eek with peyne that love me yeveth also,
","you're gonna love me too, you love me too, you love me.","And also with pain that love gives me also,
"
439,"That doubleth al my torment and my wo.""
","""twice my torment and twice my pain.""","That doubles all my torment and my woe.""
"
440,"Therwith the fyr of jalousie up sterte
",the fyr of the jalousie is a sterte.,"With that the fire of jealousy started up
"
441,"Withinne his brest, and hente him by the herte
","he was taken by the herte, and he was taken by the herte.","Within his breast, and seized him by the heart
"
442,"So woodly that he lyk was to biholde
","the wood was a little woody, and he was a little woody.","So madly that he was to look upon like
"
443,"The boxtree or the asshen dede and colde.
",the boxtree or the asshen's ass.,"The box tree or the ash dead and cold.
"
444,"Thanne seyde he, ""O crueel goddes that governe
","""oh, hell, damn it, damn it, damn it, damn it, damn it, damn it, damn it, damn it, damn it, damn it, damn","Then said he, ""O cruel gods that govern
"
445,"This world with byndyng of youre word eterne,
","the world of the world, the world of the world, the world of the world, the world of the world, the world of the world, the world of the world,","This world with binding of your eternal word,
"
446,"And writen in the table of atthamaunt
","in the table of the atthamaunt, the following text is written:","And write in the table of adamant (hardest of stones)
"
447,"Youre parlement and youre eterne graunt,
","you're a parlement and you're a graunt, you're a graunt.","Your decision and your eternal decree,
"
